0,2,2,2
16,14,18,13
32,31,34,24
48,48,48,45
64,59,61,58
80,78,82,78
96,93,94,88
112,110,113,108
128,122,129,123
144,142,143,141
160,159,159,159
176,177,177,175
192,189,192,179
208,205,205,204
224,222,224,224
240,238,242,241
256,256,257,249
272,270,270,268
288,289,289,286
304,302,303,299
320,316,316,316
336,335,335,335
352,346,351,342
368,363,368,360
384,380,382,380
400,397,400,395
416,412,415,415
432,428,429,424
448,447,447,439
464,457,462,456
480,476,481,473
496,490,495,489
512,500,509,502
528,524,527,517
544,539,542,539
560,557,559,557
576,564,577,563
592,585,592,583
608,598,608,598
624,618,619,618
640,636,639,631
656,652,655,643
672,669,666,664
688,680,686,677
704,703,703,696
720,715,718,705
736,731,731,727
752,742,750,748
768,760,764,763
784,780,777,780
800,791,798,789
816,812,814,812
832,827,829,829
848,844,846,836
864,854,859,858
880,867,878,869
896,890,890,885
912,905,908,904
928,924,927,925
944,936,942,935
960,958,961,956
976,964,966,965
992,985,987,986
1008,999,1001,1000
1023,1019,1019,1016
