0,19,19,19
16,33,33,33
32,47,47,47
48,60,60,60
64,74,74,74
80,88,88,88
96,102,102,102
112,116,116,116
128,130,130,130
144,144,144,144
160,158,158,158
176,172,172,172
192,186,186,186
208,200,200,200
224,219,219,219
240,233,233,233
256,245,245,245
272,264,264,264
288,279,279,279
304,293,293,293
320,309,309,309
336,326,326,326
352,340,340,340
368,355,355,355
384,372,372,372
400,386,386,386
416,403,403,403
432,419,419,419
448,434,434,434
464,451,451,451
480,465,465,465
496,483,483,483
512,484,484,484
528,484,484,484
544,484,484,484
560,484,484,484
576,484,484,484
592,484,484,484
608,484,484,484
624,484,484,484
640,484,484,484
656,484,484,484
672,484,484,484
688,484,484,484
704,484,484,484
720,484,484,484
736,484,484,484
752,484,484,484
768,484,484,484
784,484,484,484
800,484,484,484
816,484,484,484
832,484,484,484
848,484,484,484
864,484,484,484
880,484,484,484
896,484,484,484
912,484,484,484
928,484,484,484
944,484,484,484
960,484,484,484
976,484,484,484
992,484,484,484
1008,484,484,484
1023,484,484,484
