ColorCompass Spectrum data( MFA Model)
device,18F00145,18F00145,18F00145,18F00145,18F00145,18F00145,18F00145,18F00145,18F00145,
date,2022/07/18,2022/07/18,2022/07/18,2022/07/18,2022/07/18,2022/07/18,2022/07/18,2022/07/18,2022/07/18,
time,14:12:44,14:12:48,14:12:53,14:12:58,14:13:02,14:13:06,14:13:13,14:13:17,14:13:22,
temperature,32.9,32.9,32.9,32.8,32.8,32.8,32.8,32.8,32.8,
340,54.0,45.7,6.4,165.1,74.5,121.3,251.0,98.6,-20.9,
341,47.2,64.3,-16.4,178.3,96.4,157.5,243.6,89.9,5.0,
342,54.4,89.0,-2.1,172.7,121.3,156.0,259.1,98.5,15.1,
343,66.5,115.7,24.8,160.7,147.4,141.9,282.2,112.8,19.8,
344,79.5,141.3,52.7,151.1,174.4,130.4,305.0,127.8,26.7,
345,106.3,150.8,94.4,172.5,215.5,153.8,323.6,151.8,61.0,
346,133.1,160.4,136.1,194.0,256.5,177.3,342.2,175.7,95.3,
347,146.8,158.9,155.4,206.5,271.3,183.4,339.6,179.9,111.2,
348,140.7,140.6,140.9,205.7,246.3,163.3,305.0,154.2,99.1,
349,134.7,122.3,126.4,204.8,221.3,143.1,270.3,128.4,87.0,
350,114.6,97.1,95.4,197.5,194.4,143.7,257.5,115.0,87.3,
351,89.4,69.3,58.2,187.9,166.8,152.2,252.8,106.2,92.1,
352,66.9,46.1,24.6,179.0,141.2,160.6,249.4,99.5,96.0,
353,87.1,93.3,46.3,183.2,146.0,169.3,264.4,126.6,84.6,
354,107.3,140.6,67.9,187.4,150.8,177.9,279.4,153.7,73.1,
355,116.4,160.8,89.1,192.5,167.5,185.5,291.4,178.3,75.9,
356,108.9,140.0,109.7,199.1,202.5,191.4,298.7,199.1,100.4,
357,101.3,119.2,130.4,205.7,237.4,197.3,306.0,220.0,125.0,
358,85.8,88.4,102.4,181.6,204.3,165.0,272.6,187.1,110.0,
359,67.4,54.1,57.1,146.6,147.0,119.0,224.7,135.2,81.1,
360,50.4,24.6,15.1,113.9,94.9,77.3,182.0,87.1,54.1,
361,47.5,49.6,10.1,106.7,101.8,83.0,197.9,82.1,49.6,
362,44.5,74.7,5.2,99.5,108.6,88.8,213.7,77.1,45.0,
363,40.5,80.3,2.6,92.3,112.8,90.3,222.3,84.7,35.8,
364,35.0,60.1,3.1,85.1,113.3,86.0,221.3,109.0,20.2,
365,29.4,39.9,3.6,78.0,113.8,81.7,220.3,133.3,4.6,
366,41.1,47.3,29.7,83.3,135.9,92.0,225.2,126.6,7.8,
367,57.7,62.5,63.1,92.2,164.0,106.4,231.7,111.1,16.3,
368,70.5,75.1,89.8,102.5,187.4,120.5,237.0,97.5,24.5,
369,59.5,70.5,74.4,121.5,179.8,133.0,234.4,96.0,29.9,
370,48.5,66.0,58.9,140.6,172.3,145.4,231.7,94.5,35.4,
371,60.0,67.9,60.0,144.6,165.7,148.3,225.2,89.9,33.9,
372,94.8,76.4,78.0,133.1,159.9,141.3,214.9,82.1,25.3,
373,129.5,84.9,96.1,121.6,154.1,134.3,204.5,74.3,16.7,
374,107.3,99.5,85.7,116.5,156.9,129.9,212.0,71.6,32.3,
375,75.4,115.3,70.5,112.5,161.1,125.9,222.6,69.8,51.9,
376,53.0,121.5,60.1,108.3,159.2,124.5,230.6,71.5,64.8,
377,64.6,94.2,67.0,103.1,135.5,131.9,229.6,85.5,53.3,
378,76.1,66.8,73.8,98.0,111.8,139.4,228.6,99.5,41.8,
379,72.8,56.9,71.3,93.2,108.0,135.5,240.0,110.8,29.8,
380,59.1,59.2,62.3,88.7,118.2,123.7,260.2,120.4,17.6,
381,45.4,61.5,53.3,84.3,128.3,111.9,280.4,129.9,5.4,
382,62.9,51.5,68.9,95.7,133.7,112.2,283.0,119.6,36.8,
383,81.6,40.9,85.4,107.8,138.9,113.1,284.9,108.6,69.9,
384,88.1,32.8,92.7,114.2,134.4,112.7,278.3,103.3,83.7,
385,70.6,29.5,81.9,109.4,111.0,110.0,255.3,109.4,60.0,
386,53.2,26.2,71.2,104.5,87.7,107.3,232.3,115.5,36.3,
387,45.9,24.8,60.7,102.2,88.4,127.7,220.7,103.2,27.7,
388,42.4,24.0,50.4,100.8,98.5,157.1,213.5,83.7,25.0,
389,40.2,24.1,42.4,101.3,109.8,182.9,208.4,66.5,23.9,
390,47.9,32.3,54.0,119.1,131.7,177.9,221.1,68.7,36.0,
391,55.6,40.6,65.6,136.8,153.7,173.0,233.9,71.0,48.1,
392,60.0,47.5,81.1,141.8,162.4,170.8,248.1,80.9,49.9,
393,60.9,53.2,100.6,133.7,157.6,171.4,263.7,98.7,41.0,
394,61.8,58.8,120.2,125.6,152.7,172.1,279.4,116.5,32.1,
395,57.9,54.1,99.1,106.1,143.5,161.0,258.3,105.4,36.7,
396,53.4,48.1,72.6,85.2,133.8,148.3,232.5,90.4,43.1,
397,53.9,48.4,65.1,76.6,132.2,142.9,216.1,87.2,44.3,
398,67.3,65.0,106.3,100.0,151.4,156.3,223.9,113.8,32.2,
399,80.7,81.7,147.4,123.4,170.7,169.6,231.6,140.5,20.1,
400,63.9,65.4,138.3,120.1,166.6,160.0,237.2,135.7,18.8,
401,32.9,33.7,105.6,104.2,151.5,139.7,241.9,116.0,22.7,
402,4.6,5.2,76.9,89.3,137.3,121.6,246.8,98.1,25.4,
403,5.7,11.4,93.6,84.5,132.1,128.9,255.0,101.4,15.2,
404,6.8,17.6,110.3,79.8,126.8,136.2,263.2,104.6,4.9,
405,17.2,28.8,129.4,88.4,128.2,154.8,269.6,113.8,12.5,
406,37.2,45.0,150.9,110.9,136.5,185.3,274.3,129.2,38.4,
407,57.3,61.3,172.4,133.4,144.8,215.7,279.0,144.6,64.4,
408,57.1,67.4,186.0,142.7,165.8,230.8,298.6,163.8,71.1,
409,54.7,72.4,198.7,150.6,188.2,244.2,319.7,183.5,75.8,
410,54.1,74.6,211.2,152.7,203.3,255.2,345.8,195.6,82.4,
411,57.3,70.7,223.2,142.4,202.9,260.9,382.1,191.7,93.1,
412,60.5,66.8,235.3,132.1,202.5,266.6,418.5,187.7,103.7,
413,50.8,60.3,241.7,131.4,208.3,282.0,427.3,182.4,98.0,
414,36.4,52.8,246.1,134.2,216.2,300.8,426.2,176.6,86.7,
415,29.1,51.8,262.2,144.9,229.9,326.3,436.9,178.8,82.7,
416,57.4,83.4,338.4,196.0,273.0,386.1,507.6,221.8,116.9,
417,85.8,115.1,414.6,247.1,316.2,445.9,578.4,264.9,151.0,
418,95.2,121.6,462.8,257.0,340.9,498.7,618.5,290.9,150.7,
419,91.3,110.8,491.6,238.5,353.0,546.5,637.6,305.1,126.6,
420,87.6,100.0,522.0,221.3,365.7,595.1,659.2,320.3,104.2,
421,85.6,88.9,610.9,259.7,405.8,672.9,783.1,371.5,149.2,
422,83.7,77.9,699.9,298.2,445.9,750.7,907.0,422.7,194.3,
423,80.7,76.4,808.1,341.2,502.4,859.0,1026.5,485.3,234.6,
424,76.6,86.2,938.9,389.5,578.2,1003.0,1140.7,561.2,269.4,
425,72.5,96.0,1069.6,437.8,654.0,1146.9,1254.9,637.1,304.2,
426,86.9,104.5,1286.2,495.6,760.1,1380.8,1497.1,743.2,359.1,
427,103.4,112.8,1512.2,554.5,869.6,1624.5,1753.2,852.6,416.2,
428,120.3,114.2,1771.0,617.9,993.7,1899.4,2033.9,974.5,478.0,
429,137.7,102.3,2091.5,689.9,1145.2,2233.1,2360.9,1119.8,548.9,
430,155.0,90.3,2412.0,761.9,1296.8,2566.8,2687.8,1265.1,619.8,
431,168.4,97.8,2908.9,895.8,1537.1,3058.7,3198.0,1518.6,745.1,
432,180.6,110.2,3451.0,1045.5,1800.1,3591.0,3755.1,1799.7,884.3,
433,189.9,118.0,4083.6,1213.5,2112.9,4214.1,4400.0,2121.6,1036.7,
434,190.5,111.7,4988.0,1436.6,2575.0,5109.9,5308.5,2565.9,1228.6,
435,191.0,105.5,5892.4,1659.7,3037.2,6005.7,6217.0,3010.2,1420.5,
436,206.6,114.7,7015.5,1927.5,3581.0,7122.8,7335.4,3551.9,1681.5,
437,228.3,130.2,8228.9,2213.8,4158.6,8331.3,8540.4,4133.6,1971.0,
438,243.3,142.1,9521.7,2517.9,4775.4,9619.2,9828.5,4754.0,2279.8,
439,225.3,136.4,11201.3,2909.6,5583.7,11294.0,11520.9,5562.1,2682.6,
440,207.4,130.7,12880.8,3301.2,6392.0,12968.8,13213.3,6370.2,3085.5,
441,230.0,139.7,15000.5,3823.2,7433.2,15136.7,15383.9,7411.4,3588.6,
442,275.7,157.0,17370.6,4419.5,8607.1,17585.3,17826.7,8585.3,4148.9,
443,317.6,174.4,19814.0,5031.1,9819.8,20101.9,20332.0,9798.5,4728.6,
444,328.2,192.2,22858.6,5768.8,11351.2,23176.7,23350.7,11334.7,5467.2,
445,338.9,210.1,25903.2,6506.5,12882.5,26251.4,26369.4,12870.9,6205.9,
446,351.1,214.2,28955.2,7232.3,14408.0,29285.0,29407.9,14384.9,6933.0,
447,364.4,208.4,32012.4,7949.7,15929.2,32289.2,32460.6,15883.0,7651.8,
448,376.6,203.7,35073.7,8672.3,17461.1,35303.4,35519.4,17389.8,8375.2,
449,371.8,215.0,38192.5,9471.5,19147.6,38461.5,38667.7,19022.6,9165.2,
450,367.1,226.3,41311.2,10270.8,20834.0,41619.6,41816.0,20655.4,9955.1,
451,375.8,236.9,44283.2,11062.7,22433.9,44585.3,44792.4,22242.8,10730.0,
452,395.7,247.1,47134.6,11848.6,23962.7,47392.9,47627.6,23792.9,11492.4,
453,414.1,256.5,49906.6,12612.7,25450.0,50120.2,50380.0,25300.5,12234.3,
454,394.8,244.8,50677.8,12828.2,25893.2,50822.2,51046.8,25736.4,12460.4,
455,375.4,233.2,51448.9,13043.7,26336.4,51524.2,51713.7,26172.4,12686.6,
456,357.2,234.6,51883.6,13159.6,26604.7,51930.1,52115.9,26469.7,12838.4,
457,339.9,247.7,52022.1,13187.9,26719.3,52075.5,52285.2,26644.9,12924.9,
458,323.1,260.9,52119.8,13205.6,26811.7,52179.2,52412.0,26794.1,12999.2,
459,319.8,277.3,50911.0,12885.8,26198.1,50945.7,51180.0,26107.5,12682.1,
460,316.5,293.7,49702.3,12566.0,25584.5,49712.2,49947.9,25420.9,12365.0,
461,301.5,302.1,48186.8,12172.8,24799.5,48225.4,48433.9,24604.9,11968.4,
462,276.5,303.5,46402.8,11715.5,23864.3,46516.9,46673.1,23675.6,11502.2,
463,251.9,305.8,44598.3,11253.1,22919.4,44782.1,44891.8,22734.3,11031.2,
464,239.6,331.2,42311.2,10673.7,21743.7,42429.9,42627.8,21512.3,10449.4,
465,227.3,356.5,40024.1,10094.3,20568.1,40077.6,40363.8,20290.3,9867.6,
466,219.6,394.3,37721.8,9502.7,19392.9,37737.7,38078.5,19102.2,9280.1,
467,215.5,442.2,35407.1,8901.1,18218.2,35407.8,35775.9,17941.4,8688.1,
468,210.1,495.1,33124.5,8314.9,17069.5,33112.7,33513.3,16800.4,8107.8,
469,186.6,613.5,31267.3,7934.5,16265.2,31278.0,31783.3,15922.7,7683.1,
470,163.0,731.9,29410.1,7554.0,15460.9,29443.4,30053.2,15044.9,7258.3,
471,148.1,923.7,27566.6,7209.2,14735.4,27672.2,28435.2,14222.9,6861.4,
472,139.4,1166.1,25732.6,6889.2,14064.3,25944.7,26894.5,13439.5,6483.6,
473,130.9,1426.0,23919.8,6582.8,13418.5,24231.8,25383.5,12671.4,6112.3,
474,125.1,1816.0,22264.3,6378.6,12960.8,22626.6,24093.8,12018.4,5789.5,
475,119.2,2206.1,20608.9,6174.4,12503.1,21021.4,22804.2,11365.4,5466.6,
476,125.5,2647.0,18976.9,5996.1,12142.7,19505.6,21629.5,10765.0,5193.1,
477,138.4,3115.3,17357.6,5831.8,11834.9,18038.2,20516.9,10193.1,4946.3,
478,146.1,3590.6,15796.0,5684.8,11565.3,16629.1,19479.1,9661.0,4709.0,
479,130.9,4096.9,14488.1,5614.2,11463.5,15476.6,18770.1,9304.3,4513.3,
480,115.7,4603.2,13180.3,5543.5,11361.8,14324.0,18061.0,8947.7,4317.7,
481,109.1,5164.7,12105.4,5571.6,11404.1,13408.2,17595.4,8685.3,4210.2,
482,105.7,5747.0,11118.5,5636.9,11500.7,12581.7,17221.6,8458.5,4136.0,
