ColorCompass Spectrum data( MFA Model)
device,18F00145,18F00145,18F00145,18F00145,18F00145,18F00145,18F00145,18F00145,18F00145,18F00145,18F00145,18F00145,18F00145,18F00145,18F00145,18F00145,18F00145,18F00145,18F00145,18F00145,
date,2022/07/09,2022/07/09,2022/07/09,2022/07/09,2022/07/09,2022/07/09,2022/07/09,2022/07/09,2022/07/09,2022/07/09,2022/07/09,2022/07/09,2022/07/09,2022/07/09,2022/07/09,2022/07/09,2022/07/09,2022/07/09,2022/07/09,2022/07/09,
time,23:46:38,23:46:40,23:46:45,23:46:50,23:46:55,23:47:02,23:47:06,23:47:11,23:47:16,23:47:21,23:47:31,23:47:34,23:47:39,23:47:44,23:47:49,23:48:01,23:48:04,23:48:09,23:48:14,23:48:19,
temperature,32.3,32.4,32.5,32.6,32.6,32.7,32.7,32.8,32.9,32.9,33.0,33.1,33.1,33.2,33.2,33.4,33.4,33.5,33.5,33.6,
340,-61.6,-54.4,-103.1,-81.1,-49.6,-67.1,-53.2,-101.5,-75.6,-62.6,-130.6,-52.9,-72.2,-76.8,-30.5,-84.7,-41.5,48.5,109.9,102.8,
341,-73.8,-77.6,-74.2,-76.2,-26.5,-61.6,-45.0,-104.0,-69.5,-64.8,-134.2,-28.5,-73.1,-36.1,18.3,-73.3,-43.0,47.3,91.5,123.8,
342,-72.1,-86.1,-63.0,-68.8,-27.8,-71.2,-40.5,-94.1,-66.4,-30.2,-105.9,-26.8,-51.4,-30.6,11.0,-70.7,-34.4,70.9,82.9,127.3,
343,-65.7,-89.6,-57.7,-60.7,-37.4,-85.9,-37.2,-79.9,-64.3,16.8,-66.7,-32.8,-22.0,-37.2,-15.4,-71.0,-22.4,102.8,77.5,124.9,
344,-57.7,-90.7,-51.9,-51.0,-42.7,-97.1,-31.9,-64.0,-59.2,61.5,-27.9,-37.3,3.9,-40.4,-36.7,-69.3,-7.9,131.7,74.9,124.7,
345,-28.5,-61.2,-39.0,-22.0,9.1,-63.6,1.6,-25.6,-14.1,76.7,6.6,-21.8,-14.7,-0.4,7.8,-40.2,40.4,120.5,107.2,153.5,
346,0.7,-31.7,-26.1,7.1,61.0,-30.1,35.1,12.9,30.9,91.8,41.2,-6.4,-33.3,39.6,52.4,-11.2,88.6,109.4,139.6,182.4,
347,6.7,-16.5,-16.8,22.3,83.8,-13.5,42.2,28.7,44.5,86.9,43.3,-5.5,-37.6,60.8,69.9,-3.1,100.2,103.7,153.7,199.5,
348,-22.4,-23.0,-12.7,16.6,62.6,-22.7,9.2,10.2,10.4,51.6,-3.7,-26.4,-20.0,53.2,46.6,-27.0,56.1,106.3,140.2,198.8,
349,-51.6,-29.5,-8.7,10.9,41.5,-31.9,-23.7,-8.3,-23.6,16.3,-50.8,-47.3,-2.4,45.7,23.2,-50.8,12.0,109.0,126.6,198.1,
350,-68.3,-59.3,-19.9,10.0,25.7,-47.0,-35.8,-7.7,-23.3,2.6,-73.7,-55.5,-1.8,28.0,-0.6,-53.6,4.0,93.3,120.5,188.3,
351,-80.4,-97.8,-36.9,10.8,11.9,-64.4,-40.0,0.1,-10.0,-3.1,-87.6,-58.8,-7.5,6.4,-24.7,-48.4,9.6,70.7,117.0,175.2,
352,-90.5,-131.2,-51.4,11.7,0.5,-79.7,-43.8,7.5,2.7,-7.8,-99.3,-60.6,-12.4,-13.5,-46.1,-42.5,14.6,50.6,113.8,162.4,
353,-71.0,-84.4,-26.2,12.4,24.3,-63.1,-40.5,8.6,5.1,3.5,-78.7,-37.4,-4.2,-7.9,-26.9,-26.2,10.3,68.9,113.2,154.7,
354,-51.4,-37.7,-1.1,13.2,48.2,-46.5,-37.1,9.7,7.6,14.7,-58.0,-14.2,3.9,-2.3,-7.7,-9.8,6.0,87.1,112.7,147.0,
355,-34.8,3.3,22.8,13.9,61.6,-29.1,-23.4,10.9,12.6,35.8,-36.4,-1.0,4.6,3.2,13.1,7.2,9.2,96.6,115.0,153.1,
356,-22.6,35.6,44.9,14.6,59.3,-10.5,5.9,11.9,21.3,71.6,-13.5,-2.8,-6.1,8.3,36.2,25.5,23.7,92.8,121.4,180.3,
357,-10.3,67.9,66.9,15.3,57.0,8.0,35.3,13.0,30.1,107.5,9.5,-4.7,-16.9,13.5,59.4,43.7,38.3,89.1,127.9,207.6,
358,-28.7,30.5,35.6,-4.9,25.9,-18.9,13.3,-17.8,10.4,80.8,-13.0,-44.4,-42.7,-11.8,41.1,12.7,17.9,69.1,121.3,184.4,
359,-57.8,-31.6,-14.7,-32.6,-15.4,-62.0,-26.9,-59.9,-19.5,31.9,-51.7,-97.7,-74.0,-47.9,8.1,-35.8,-14.9,43.4,109.9,143.4,
360,-84.2,-87.2,-60.7,-58.1,-53.0,-102.6,-63.5,-98.6,-46.5,-12.4,-86.1,-143.5,-101.1,-79.5,-23.1,-79.7,-43.8,19.8,98.9,105.6,
361,-78.7,-68.3,-58.8,-58.3,-48.6,-115.3,-59.1,-98.5,-41.1,-4.3,-72.0,-106.4,-82.8,-60.8,-33.1,-72.0,-29.3,20.1,90.9,103.9,
362,-73.2,-49.4,-57.0,-58.5,-44.2,-127.9,-54.7,-98.4,-35.7,3.8,-58.0,-69.3,-64.5,-42.2,-43.2,-64.3,-14.8,20.4,83.0,102.2,
363,-73.9,-45.5,-53.8,-56.1,-40.3,-138.2,-57.5,-90.5,-30.3,1.1,-59.0,-45.5,-50.2,-36.0,-47.3,-59.5,-6.3,18.3,73.0,102.4,
