wl,wo,w
380,401.7,274.0
381,398.1,282.1
382,393.9,275.0
383,389.7,267.3
384,382.3,262.7
385,368.7,264.1
386,355.1,265.6
387,361.7,268.6
388,376.3,272.3
389,389.7,275.9
390,392.6,278.9
391,395.4,281.9
392,410.0,292.2
393,436.7,310.0
394,463.4,327.7
395,461.8,320.5
396,456.5,309.9
397,454.1,307.1
398,459.4,323.9
399,464.7,340.8
400,463.8,326.4
401,460.1,297.4
402,457.4,272.2
403,466.5,289.2
404,475.6,306.2
405,498.5,320.5
406,535.7,332.0
407,572.8,343.4
408,626.7,382.0
409,682.4,423.4
410,727.7,453.5
411,751.2,459.3
412,774.7,465.1
413,834.4,498.6
414,906.8,541.7
415,993.0,593.0
416,1149.2,685.8
417,1305.5,778.6
418,1458.0,852.1
419,1607.8,912.2
420,1762.0,975.3
421,2095.2,1160.0
422,2428.4,1344.7
423,2789.4,1545.8
424,3183.0,1766.2
425,3576.5,1986.5
426,4286.8,2359.3
427,5031.6,2748.8
428,5818.5,3174.8
429,6684.9,3669.8
430,7551.3,4164.8
431,8879.0,4884.2
432,10324.7,5661.0
433,11975.1,6554.4
434,14240.1,7797.3
435,16505.0,9040.3
436,19006.7,10454.2
437,21606.1,11938.5
438,24348.6,13507.4
439,27787.5,15488.2
440,31226.5,17469.0
441,35693.4,20101.6
442,40745.5,23105.3
443,45923.1,26229.8
444,52131.8,30347.4
445,58340.5,34465.0
446,60530.3,38480.6
447,59859.0,42423.6
448,59204.8,46349.6
449,58800.0,50027.2
450,58395.3,53704.8
451,58121.7,55892.7
452,57956.0,56856.7
453,57745.3,57731.8
454,56402.3,56369.5
455,55059.3,55007.3
456,54217.5,54173.0
457,53816.6,53803.5
458,53415.9,53417.2
459,53023.5,52496.9
460,52631.1,51576.6
461,52473.7,50061.9
462,52522.1,48027.1
463,52581.4,46002.6
464,52898.1,44223.7
465,53214.8,42444.7
466,53237.3,40764.7
467,53022.0,39164.6
468,52747.5,37602.5
469,51687.0,36544.0
470,50626.5,35485.5
471,49104.9,34378.7
472,47265.0,33238.5
473,45447.8,32121.1
474,43799.4,31173.5
475,42151.0,30225.8
476,40749.8,29385.0
477,39482.1,28601.8
478,38336.4,27926.5
479,37726.9,27725.5
480,37117.4,27524.5
481,37083.2,27634.9
482,37265.9,27862.7
483,37368.3,28056.1
484,37255.3,28156.8
485,37142.3,28257.6
486,37131.2,28469.0
487,37142.2,28704.4
488,37507.2,29184.1
489,38455.2,30066.1
490,39403.2,30948.1
491,39879.7,31454.3
492,40325.1,31935.7
493,40802.3,32456.8
494,41310.9,33017.1
495,41816.6,33574.0
496,42286.6,34088.9
497,42756.5,34603.8
498,43325.6,35142.7
499,43948.4,35694.5
500,44480.1,36188.4
501,44705.8,36488.2
502,44931.6,36787.9
503,45533.1,37308.2
504,46219.9,37878.7
505,46784.8,38349.1
506,47170.8,38672.8
507,47556.7,38996.3
508,47758.5,39155.2
509,47960.4,39314.0
510,47970.3,39199.0
511,47853.1,38902.8
512,47737.0,38642.5
513,47625.2,38519.4
514,47513.3,38396.3
515,47771.5,38445.4
