ColorCompass Spectrum data( MFA Model)
device,18F00145,
date,2024/01/23,
time,22:38:32,
temperature,29.8,
340,251.9,
341,272.7,
342,291.7,
343,310.1,
344,325.8,
345,305.5,
346,285.2,
347,270.6,
348,264.6,
349,258.5,
350,252.1,
351,245.5,
352,239.3,
353,240.9,
354,242.5,
355,245.9,
356,252.0,
357,258.1,
358,257.2,
359,253.9,
360,250.3,
361,244.2,
362,238.2,
363,217.7,
364,178.0,
365,138.3,
366,166.3,
367,213.3,
368,251.4,
369,232.9,
370,214.5,
371,201.1,
372,193.0,
373,184.9,
374,186.9,
375,190.7,
376,194.3,
377,197.0,
378,199.7,
379,199.8,
380,198.1,
381,196.4,
382,191.2,
383,185.9,
384,179.5,
385,171.0,
386,162.5,
387,163.5,
388,168.3,
389,173.7,
390,184.0,
391,194.2,
392,204.7,
393,215.2,
394,225.8,
395,221.7,
396,215.8,
397,211.1,
398,209.5,
399,207.9,
400,198.9,
401,186.4,
402,177.5,
403,207.1,
404,236.7,
405,242.8,
406,224.8,
407,206.7,
408,223.2,
409,243.4,
410,256.7,
411,255.3,
412,253.9,
413,256.8,
414,261.2,
415,271.6,
416,312.3,
417,353.0,
418,376.1,
419,387.2,
420,398.9,
421,436.6,
422,474.3,
423,515.9,
424,562.1,
425,608.3,
426,698.5,
427,793.5,
428,891.7,
429,996.1,
430,1100.5,
431,1290.4,
432,1502.3,
433,1750.7,
434,2108.8,
435,2466.9,
436,2901.3,
437,3367.3,
438,3862.4,
439,4499.3,
440,5136.2,
441,6029.6,
442,7069.1,
443,8160.3,
444,9677.7,
445,11195.1,
446,12930.4,
447,14821.0,
448,16761.4,
449,19426.6,
450,22091.7,
451,25111.8,
452,28423.6,
453,31704.0,
454,34198.5,
455,36692.9,
456,38825.1,
457,40638.6,
458,42396.4,
459,42374.7,
460,42353.0,
461,41632.2,
462,40299.4,
463,38927.1,
464,36624.2,
465,34321.3,
466,31969.3,
467,29577.4,
468,27241.3,
469,25644.5,
470,24047.7,
471,22695.8,
472,21512.7,
473,20357.5,
474,19409.7,
475,18462.0,
476,17481.3,
477,16482.9,
478,15489.0,
479,14514.9,
480,13540.7,
481,12701.1,
482,11912.1,
483,11132.9,
484,10379.7,
485,9626.6,
486,9058.2,
487,8529.7,
488,8100.2,
489,7833.7,
490,7567.1,
491,7281.4,
492,6994.4,
493,6748.3,
494,6542.7,
495,6341.6,
496,6196.9,
497,6052.1,
498,6022.3,
499,6054.5,
500,6119.3,
501,6293.1,
502,6467.0,
503,6790.2,
504,7147.4,
505,7579.2,
506,8120.5,
507,8661.8,
508,9322.0,
509,9982.1,
510,10696.1,
511,11445.6,
512,12207.6,
513,13016.9,
514,13826.1,
515,14757.7,
516,15716.2,
517,16659.2,
518,17581.7,
519,18494.7,
520,19246.9,
521,19999.2,
522,20777.5,
523,21567.9,
524,22301.9,
525,22913.0,
526,23524.1,
527,23858.7,
528,24179.4,
529,24523.6,
530,24883.8,
531,25205.5,
532,25406.8,
533,25608.2,
534,25671.5,
535,25718.8,
536,25600.7,
537,25350.0,
538,25132.8,
539,25034.4,
540,24936.1,
541,24631.3,
542,24300.6,
543,23896.1,
544,23434.3,
545,22948.4,
546,22387.6,
547,21826.9,
548,21253.2,
549,20678.4,
550,20103.1,
551,19527.2,
552,18912.6,
553,18214.7,
554,17518.9,
555,16912.3,
556,16305.8,
557,15580.9,
558,14812.0,
559,14077.5,
560,13386.1,
561,12711.3,
562,12121.8,
563,11532.2,
564,10935.7,
565,10338.4,
566,9812.1,
567,9329.7,
568,8851.2,
569,8379.8,
570,7918.1,
571,7546.3,
572,7174.5,
573,6810.0,
574,6446.8,
575,6126.3,
576,5834.4,
577,5560.5,
578,5318.7,
579,5079.8,
580,4862.2,
581,4644.5,
582,4513.9,
583,4393.7,
584,4316.0,
585,4259.2,
586,4210.5,
587,4171.7,
588,4152.6,
589,4195.9,
590,4241.2,
591,4338.5,
592,4435.8,
593,4597.4,
594,4771.5,
595,4974.2,
596,5192.8,
597,5454.8,
598,5769.0,
599,6156.3,
600,6738.8,
601,7375.1,
602,8514.8,
603,9654.5,
604,11007.9,
605,12378.3,
606,14655.3,
607,17215.0,
608,19293.6,
609,21057.3,
610,22071.9,
611,22179.1,
612,22053.3,
613,21399.6,
614,20727.8,
615,19965.2,
616,19181.8,
617,17776.7,
618,16371.5,
619,16289.7,
620,16347.3,
621,17936.8,
622,19950.9,
623,24635.9,
624,30652.2,
625,36519.3,
626,42268.0,
627,46968.0,
628,50410.0,
629,53346.6,
630,55374.9,
631,56139.4,
632,53424.9,
633,49890.2,
634,42660.1,
635,35608.7,
636,30113.3,
637,24636.6,
638,19754.4,
639,14872.1,
640,12684.6,
641,10596.6,
642,10413.5,
643,10431.8,
644,10317.0,
645,10178.9,
646,9946.0,
647,9689.8,
648,9278.9,
649,8819.6,
650,7726.6,
651,6395.7,
652,5336.0,
653,4393.6,
654,3798.5,
655,3369.9,
656,3036.8,
657,2752.8,
658,2466.7,
659,2179.5,
660,1988.3,
661,1849.6,
662,1766.3,
663,1712.8,
664,1641.7,
665,1561.6,
666,1504.8,
667,1459.1,
668,1415.3,
669,1372.3,
670,1319.7,
671,1263.3,
672,1188.9,
673,1108.7,
674,991.8,
675,865.8,
676,832.0,
677,814.8,
678,795.8,
679,776.7,
680,730.5,
681,684.8,
682,693.8,
683,696.8,
684,647.1,
685,598.5,
686,555.6,
687,539.1,
688,595.4,
689,618.4,
690,581.6,
691,547.4,
692,516.5,
693,504.2,
694,506.4,
695,472.3,
696,420.6,
697,437.7,
698,473.0,
699,458.6,
700,438.8,
701,401.5,
702,374.3,
703,392.3,
704,399.0,
705,382.6,
706,365.1,
707,346.4,
708,338.4,
709,336.6,
710,316.5,
711,291.8,
712,322.0,
713,346.0,
714,320.0,
715,299.2,
716,289.0,
717,296.3,
718,320.2,
719,337.9,
720,353.0,
721,314.1,
722,269.7,
723,225.3,
724,210.7,
725,256.2,
726,298.2,
727,337.4,
728,315.6,
729,277.7,
730,313.9,
731,331.4,
732,293.6,
733,279.1,
734,287.7,
735,311.5,
736,339.9,
737,345.7,
738,350.5,
739,352.7,
740,359.4,
741,369.7,
742,321.1,
743,269.6,
744,290.8,
745,288.1,
746,250.1,
747,247.3,
748,259.6,
749,266.4,
750,288.4,
751,343.2,
752,348.2,
753,324.0,
754,329.8,
755,342.9,
756,370.6,
757,328.8,
758,244.2,
759,352.2,
760,402.9,
761,308.3,
762,262.7,
763,245.2,
764,354.4,
765,388.4,
766,304.9,
767,242.5,
768,217.8,
769,380.7,
770,379.9,
771,232.9,
772,260.1,
773,303.9,
774,351.0,
775,398.5,
776,427.0,
777,330.1,
778,324.7,
779,394.9,
780,388.6,
781,398.5,
782,436.3,
783,373.7,
784,306.7,
785,281.3,
786,317.7,
787,370.4,
788,385.6,
789,424.1,
790,467.5,
791,426.8,
792,444.5,
793,505.9,
794,539.3,
795,494.3,
796,381.1,
797,482.6,
798,519.3,
799,492.7,
800,398.4,
801,361.4,
802,379.9,
803,449.9,
804,587.1,
805,765.3,
806,713.8,
807,709.6,
808,743.9,
809,821.3,
810,918.1,
811,1026.3,
812,1140.8,
813,1355.8,
814,1522.4,
815,1523.1,
816,1811.5,
817,2133.6,
818,2442.1,
819,2419.9,
820,2625.3,
821,2907.4,
822,2887.7,
823,2942.3,
824,2920.6,
825,2738.0,
826,2625.0,
827,2809.1,
828,3093.3,
829,2916.4,
830,2785.9,
831,2819.4,
832,3042.6,
833,3093.5,
834,3057.6,
835,3018.5,
836,3051.8,
837,2977.5,
838,2979.3,
839,2989.3,
840,2890.4,
841,2816.8,
842,2934.6,
843,3081.6,
844,2936.1,
845,3257.8,
846,3083.2,
847,2820.2,
848,3187.0,
849,3858.8,
850,3621.3,
