X,Y,Z,Y,x,y,ccss_fname,Date
6.935684,6.406054,4.215592,6.406054,0.395031,0.364865,RGBLEDFamily_07Feb11,2024-01-23T23:27:14.138194
23.675688,22.137097,15.824509,22.137097,0.384113,0.359151,RGBLEDFamily_07Feb11,2024-01-23T23:27:25.704040
10.725025,11.842034,21.326266,11.842034,0.244343,0.269791,RGBLEDFamily_07Feb11,2024-01-23T23:27:35.748466
6.567731,8.427343,4.432345,8.427343,0.338065,0.433786,RGBLEDFamily_07Feb11,2024-01-23T23:27:45.095038
15.248894,14.719653,27.583596,14.719653,0.264958,0.255762,RGBLEDFamily_07Feb11,2024-01-23T23:27:51.685027
18.779501,26.564745,28.739655,26.564745,0.25349,0.358576,RGBLEDFamily_07Feb11,2024-01-23T23:28:06.585515
24.129372,19.602462,4.020061,19.602462,0.505307,0.410506,RGBLEDFamily_07Feb11,2024-01-23T23:28:23.057733
8.182193,7.335335,24.629897,7.335335,0.203804,0.18271,RGBLEDFamily_07Feb11,2024-01-23T23:28:32.221194
17.809573,12.165404,8.242292,12.165404,0.466009,0.318322,RGBLEDFamily_07Feb11,2024-01-23T23:28:39.942033
5.405669,4.132528,8.97881,4.132528,0.29193,0.223175,RGBLEDFamily_07Feb11,2024-01-23T23:28:49.955500
20.933502,28.105722,7.408474,28.105722,0.370848,0.497907,RGBLEDFamily_07Feb11,2024-01-23T23:28:56.919270
28.780127,27.364669,4.878057,27.364669,0.471629,0.448433,RGBLEDFamily_07Feb11,2024-01-23T23:29:06.098084
4.709176,3.758069,17.62283,3.758069,0.180497,0.144042,RGBLEDFamily_07Feb11,2024-01-23T23:29:20.681816
8.980705,14.749629,6.639083,14.749629,0.295715,0.485674,RGBLEDFamily_07Feb11,2024-01-23T23:29:27.309599
12.958696,7.89038,3.119001,7.89038,0.540665,0.329204,RGBLEDFamily_07Feb11,2024-01-23T23:29:35.804593
34.955513,37.648564,5.820348,37.648564,0.445722,0.480062,RGBLEDFamily_07Feb11,2024-01-23T23:29:42.041303
18.985522,12.659438,19.301615,12.659438,0.372656,0.248485,RGBLEDFamily_07Feb11,2024-01-23T23:29:55.616146
10.046709,13.026675,25.627754,13.026675,0.206293,0.267482,RGBLEDFamily_07Feb11,2024-01-23T23:30:01.582658
53.653905,57.920957,61.053123,57.920957,0.310807,0.335525,RGBLEDFamily_07Feb11,2024-01-23T23:30:16.392780
34.863224,37.611846,40.540299,37.611846,0.308482,0.332803,RGBLEDFamily_07Feb11,2024-01-23T23:30:21.670027
21.393573,23.085881,24.873055,23.085881,0.308476,0.332877,RGBLEDFamily_07Feb11,2024-01-23T23:30:26.397442
11.368464,12.220764,13.2513,12.220764,0.308586,0.331721,RGBLEDFamily_07Feb11,2024-01-23T23:30:31.710712
5.249463,5.706397,6.283805,5.706397,0.304499,0.331004,RGBLEDFamily_07Feb11,2024-01-23T23:30:38.677424
1.881053,2.010019,2.292838,2.010019,0.304185,0.32504,RGBLEDFamily_07Feb11,2024-01-23T23:30:48.752187
