X,Y,Z,Y,x,y,ccss_fname,Date
7.036547,6.444718,4.239899,6.444718,0.39707,0.363674,WLEDFamily_07Feb11,2024-01-22T20:18:24.695632
23.953927,22.025152,16.000292,22.025152,0.386482,0.355363,WLEDFamily_07Feb11,2024-01-22T20:18:46.832421
10.792563,11.787586,21.547918,11.787586,0.244574,0.267122,WLEDFamily_07Feb11,2024-01-22T20:18:57.702870
6.68005,8.438762,4.508507,8.438762,0.340344,0.42995,WLEDFamily_07Feb11,2024-01-22T20:19:10.437473
15.446158,14.738129,28.009607,14.738129,0.265426,0.253259,WLEDFamily_07Feb11,2024-01-22T20:19:22.809624
19.105357,26.657235,28.895215,26.657235,0.255906,0.357059,WLEDFamily_07Feb11,2024-01-22T20:19:29.798190
24.171361,19.341751,4.08721,19.341751,0.507798,0.406337,WLEDFamily_07Feb11,2024-01-22T20:19:43.058475
8.346742,7.364056,25.090991,7.364056,0.204568,0.180484,WLEDFamily_07Feb11,2024-01-22T20:19:50.601841
18.051748,12.158808,8.37075,12.158808,0.467888,0.315148,WLEDFamily_07Feb11,2024-01-22T20:19:58.041293
5.400079,4.054356,8.926992,4.054356,0.293779,0.220568,WLEDFamily_07Feb11,2024-01-22T20:20:08.350329
21.363235,28.086725,7.600313,28.086725,0.374463,0.492315,WLEDFamily_07Feb11,2024-01-22T20:20:15.313207
29.111737,27.181612,5.048064,27.181612,0.474585,0.44312,WLEDFamily_07Feb11,2024-01-22T20:20:24.724889
4.822963,3.843201,17.902089,3.843201,0.181531,0.144654,WLEDFamily_07Feb11,2024-01-22T20:20:43.216899
9.146389,14.804929,6.701487,14.804929,0.298387,0.482988,WLEDFamily_07Feb11,2024-01-22T20:20:50.920672
13.079704,7.843141,3.122843,7.843141,0.543952,0.326177,WLEDFamily_07Feb11,2024-01-22T20:21:00.549024
35.24695,37.46412,5.983567,37.46412,0.447895,0.47607,WLEDFamily_07Feb11,2024-01-22T20:21:08.125761
19.356618,12.703661,19.594428,12.703661,0.374731,0.245934,WLEDFamily_07Feb11,2024-01-22T20:21:15.282236
10.245915,13.161162,26.161492,13.161162,0.206702,0.265514,WLEDFamily_07Feb11,2024-01-22T20:21:21.356634
54.123788,57.508597,61.443224,57.508597,0.312718,0.332274,WLEDFamily_07Feb11,2024-01-22T20:21:33.623310
35.019528,37.398686,40.95967,37.398686,0.308874,0.329859,WLEDFamily_07Feb11,2024-01-22T20:21:39.375764
21.62491,23.068508,25.289272,23.068508,0.309004,0.329632,WLEDFamily_07Feb11,2024-01-22T20:21:44.866912
11.537183,12.184243,13.477421,12.184243,0.310149,0.327544,WLEDFamily_07Feb11,2024-01-22T20:21:51.948778
5.308341,5.713433,6.394114,5.713433,0.304799,0.328059,WLEDFamily_07Feb11,2024-01-22T20:21:59.892135
1.911238,2.00348,2.335258,2.00348,0.305799,0.320558,WLEDFamily_07Feb11,2024-01-22T20:22:11.798294
