X,Y,Z,Y,x,y,ccss_fname,Date
6.949139,6.419491,4.231068,6.419491,0.394844,0.36475,-,2024-01-23T23:32:31.312818
23.705756,22.175049,15.881745,22.175049,0.383821,0.359037,-,2024-01-23T23:32:53.451198
10.746112,11.863136,21.392855,11.863136,0.244218,0.269604,-,2024-01-23T23:33:00.104153
6.578046,8.441643,4.445531,8.441643,0.337938,0.433678,-,2024-01-23T23:33:08.307106
15.275098,14.746587,27.665347,14.746587,0.264793,0.255631,-,2024-01-23T23:33:13.780956
18.815413,26.608172,28.831944,26.608172,0.253387,0.358333,-,2024-01-23T23:33:19.141818
24.15097,19.632349,4.032646,19.632349,0.505082,0.410581,-,2024-01-23T23:33:34.988445
8.197403,7.346311,24.697595,7.346311,0.203706,0.182556,-,2024-01-23T23:33:42.252155
17.820927,12.176528,8.264922,12.176528,0.465756,0.318238,-,2024-01-23T23:33:49.432605
5.412994,4.137767,9.003813,4.137767,0.291734,0.223005,-,2024-01-23T23:33:58.719716
20.95929,28.139305,7.42679,28.139305,0.370794,0.497817,-,2024-01-23T23:34:05.127965
28.792673,27.391996,4.889416,27.391996,0.471438,0.448504,-,2024-01-23T23:34:12.559164
4.721212,3.764965,17.678876,3.764965,0.18044,0.143893,-,2024-01-23T23:34:29.265892
9.001197,14.780536,6.659664,14.780536,0.295689,0.485541,-,2024-01-23T23:34:36.349885
12.974674,7.90078,3.128009,7.90078,0.540533,0.329152,-,2024-01-23T23:35:04.530144
34.968198,37.68196,5.834453,37.68196,0.445542,0.480119,-,2024-01-23T23:35:11.911438
19.01215,12.679009,19.36125,12.679009,0.372405,0.248353,-,2024-01-23T23:35:19.575952
10.069451,13.050805,25.701702,13.050805,0.206248,0.267314,-,2024-01-23T23:35:25.060722
53.590575,57.991913,61.164823,57.991913,0.310225,0.335704,-,2024-01-23T23:35:34.303732
34.953297,37.678291,40.625464,37.678291,0.308619,0.332679,-,2024-01-23T23:35:40.410198
21.42898,23.128132,24.947037,23.128132,0.308312,0.332759,-,2024-01-23T23:35:45.207189
11.390771,12.246515,13.294793,12.246515,0.308425,0.331596,-,2024-01-23T23:35:50.536891
5.260814,5.719098,6.305019,5.719098,0.304358,0.330872,-,2024-01-23T23:35:57.412446
1.884104,2.013255,2.299328,2.013255,0.30405,0.324892,-,2024-01-23T23:36:07.396000
