X,Y,Z,Y,x,y,ccss_fname,Date
6.991116,6.403181,4.201245,6.403181,0.397323,0.363909,-,2024-01-22T20:09:37.880798
23.851756,21.922583,15.872951,21.922583,0.386907,0.355613,-,2024-01-22T20:11:23.152822
10.73465,11.727465,21.401559,11.727465,0.244728,0.267362,-,2024-01-22T20:11:33.338571
6.642419,8.390345,4.472918,8.390345,0.340538,0.430149,-,2024-01-22T20:11:44.296544
15.370178,14.663255,27.837148,14.663255,0.265596,0.25338,-,2024-01-22T20:11:52.285234
19.029066,26.564408,28.723263,26.564408,0.256054,0.357449,-,2024-01-22T20:12:02.258113
24.111609,19.281346,4.061802,19.281346,0.508097,0.40631,-,2024-01-22T20:13:02.092240
8.310683,7.333519,24.961558,7.333519,0.204668,0.180603,-,2024-01-22T20:13:13.915477
18.006126,12.122614,8.322486,12.122614,0.468285,0.315272,-,2024-01-22T20:13:30.392923
5.378637,4.03902,8.875124,4.03902,0.294031,0.220799,-,2024-01-22T20:13:46.252595
21.305133,28.016002,7.558169,28.016002,0.374567,0.492552,-,2024-01-22T20:13:56.044418
29.060297,27.116366,5.019339,27.116366,0.474872,0.443107,-,2024-01-22T20:14:08.540885
4.803182,3.829031,17.811324,3.829031,0.181639,0.1448,-,2024-01-22T20:14:28.488591
9.115029,14.755428,6.663735,14.755428,0.298519,0.483243,-,2024-01-22T20:14:38.294000
13.048796,7.823659,3.107671,7.823659,0.54415,0.326256,-,2024-01-22T20:14:50.596689
35.211179,37.418748,5.960064,37.418748,0.448036,0.476126,-,2024-01-22T20:15:00.651157
19.313718,12.672631,19.504308,12.672631,0.375092,0.246115,-,2024-01-22T20:15:09.367932
10.21802,13.128708,26.06432,13.128708,0.206796,0.265704,-,2024-01-22T20:15:16.995220
54.078926,57.507413,61.230998,57.507413,0.312925,0.332764,-,2024-01-22T20:15:34.144521
35.016774,37.3735,40.873723,37.3735,0.309161,0.329968,-,2024-01-22T20:15:42.576852
21.5739,23.018059,25.19384,23.018059,0.309145,0.329839,-,2024-01-22T20:15:50.486798
11.503937,12.150491,13.418216,12.150491,0.310308,0.327748,-,2024-01-22T20:15:57.774328
5.293071,5.697269,6.365309,5.697269,0.304977,0.328266,-,2024-01-22T20:16:07.258456
1.905718,1.998099,2.324785,1.998099,0.305962,0.320794,-,2024-01-22T20:16:20.257091
