X,Y,Z,Y,x,y,ccss_fname,Date
6.696912,6.17483,4.064596,6.17483,0.395417,0.364591,-,2024-01-24T20:01:31.739390
22.804889,21.366405,15.289429,21.366405,0.383529,0.359336,-,2024-01-24T20:01:41.736647
10.272401,11.338432,20.459549,11.338432,0.244172,0.269511,-,2024-01-24T20:01:51.225445
6.336381,8.121741,4.268867,8.121741,0.338356,0.433692,-,2024-01-24T20:02:22.093948
14.683275,14.219881,26.63425,14.219881,0.264385,0.256042,-,2024-01-24T20:02:29.106918
18.273845,25.808841,27.664386,25.808841,0.254698,0.35972,-,2024-01-24T20:02:34.719072
23.212881,18.894669,3.89368,18.894669,0.504614,0.410743,-,2024-01-24T20:02:50.903208
7.932999,7.081191,23.889077,7.081191,0.203916,0.18202,-,2024-01-24T20:02:58.549535
17.222723,11.77777,8.024476,11.77777,0.465165,0.318103,-,2024-01-24T20:03:05.613159
5.169983,3.949732,8.574693,3.949732,0.292182,0.223219,-,2024-01-24T20:03:16.017277
20.307687,27.250824,7.172068,27.250824,0.371048,0.497909,-,2024-01-24T20:03:23.980676
27.790706,26.431165,4.741576,26.431165,0.471321,0.448264,-,2024-01-24T20:03:31.791554
4.5521,3.658153,16.985401,3.658153,0.18067,0.14519,-,2024-01-24T20:03:51.822354
8.680492,14.218628,6.383567,14.218628,0.296438,0.485564,-,2024-01-24T20:04:00.131546
12.536016,7.642774,3.013702,7.642774,0.54052,0.329537,-,2024-01-24T20:04:09.703498
33.854729,36.515339,5.644145,36.515339,0.445374,0.480375,-,2024-01-24T20:04:17.768163
18.434662,12.308098,18.591398,12.308098,0.373669,0.249484,-,2024-01-24T20:04:24.936100
9.699638,12.586673,24.699363,12.586673,0.206438,0.267883,-,2024-01-24T20:04:34.339165
51.990224,56.092988,58.94133,56.092988,0.311273,0.335837,-,2024-01-24T20:04:49.928439
33.626425,36.339448,39.146951,36.339448,0.30818,0.333045,-,2024-01-24T20:04:56.132810
20.63314,22.285396,24.155087,22.285396,0.307619,0.332253,-,2024-01-24T20:05:01.514901
10.976385,11.796174,12.768259,11.796174,0.308839,0.331905,-,2024-01-24T20:05:08.638097
5.045867,5.457121,6.093641,5.457121,0.30403,0.328809,-,2024-01-24T20:05:17.680831
1.810939,1.950456,2.181185,1.950456,0.30474,0.328217,-,2024-01-24T20:05:29.674568
