X,Y,Z,Y,x,y,ccss_fname,Date
6.696371,6.097219,4.035695,6.097219,0.3979,0.362298,-,2024-01-24T20:16:55.572235
22.851858,21.045074,15.255261,21.045074,0.386323,0.355778,-,2024-01-24T20:17:10.308861
10.273377,11.198693,20.43205,11.198693,0.245164,0.267246,-,2024-01-24T20:17:17.621690
6.33024,8.025681,4.252627,8.025681,0.340179,0.43129,-,2024-01-24T20:17:28.918566
14.776637,14.088342,26.557542,14.088342,0.266618,0.254199,-,2024-01-24T20:17:35.917262
18.308987,25.542609,27.602753,25.542609,0.256233,0.357468,-,2024-01-24T20:17:42.556922
23.407349,18.666174,3.890198,18.666174,0.509257,0.406107,-,2024-01-24T20:17:58.776491
7.919405,7.007186,23.804083,7.007186,0.204474,0.180921,-,2024-01-24T20:18:05.483742
17.181817,11.585651,7.976125,11.585651,0.467614,0.315311,-,2024-01-24T20:18:12.082839
5.164783,3.888419,8.539037,3.888419,0.293583,0.22103,-,2024-01-24T20:18:21.572343
20.341108,26.946465,7.189544,26.946465,0.373388,0.494638,-,2024-01-24T20:18:28.808173
28.102983,26.307756,4.742062,26.307756,0.475091,0.444742,-,2024-01-24T20:18:37.134788
4.549843,3.618226,16.919903,3.618226,0.181356,0.144222,-,2024-01-24T20:18:55.569359
8.689005,14.007077,6.38031,14.007077,0.298834,0.481734,-,2024-01-24T20:19:02.445276
12.471615,7.488794,3.000107,7.488794,0.543177,0.32616,-,2024-01-24T20:19:11.806402
34.140867,36.108964,5.660624,36.108964,0.449752,0.475678,-,2024-01-24T20:19:19.677916
18.349946,12.071428,18.580364,12.071428,0.374475,0.246347,-,2024-01-24T20:19:27.864518
9.708224,12.426214,24.690532,12.426214,0.20733,0.265376,-,2024-01-24T20:19:35.673322
52.247612,55.667682,58.942619,55.667682,0.313126,0.333623,-,2024-01-24T20:19:48.651166
33.755388,35.931047,39.029954,35.931047,0.31049,0.330503,-,2024-01-24T20:19:56.479412
20.744006,22.169521,24.156821,22.169521,0.309287,0.330541,-,2024-01-24T20:20:02.387952
10.959517,11.633664,12.668375,11.633664,0.310806,0.329925,-,2024-01-24T20:20:09.565854
5.058839,5.402193,6.069487,5.402193,0.30603,0.326801,-,2024-01-24T20:20:17.728107
1.829974,1.93259,2.178035,1.93259,0.308045,0.325319,-,2024-01-24T20:20:28.730576
