X,Y,Z,Y,x,y,ccss_fname,Date
6.705921,6.184909,4.078431,6.184909,0.395181,0.364477,RGBLEDFamily_07Feb11,2024-01-24T20:07:32.549209
22.823577,21.388721,15.333874,21.388721,0.383292,0.359196,RGBLEDFamily_07Feb11,2024-01-24T20:07:59.599770
10.289776,11.356275,20.515022,11.356275,0.244059,0.269355,RGBLEDFamily_07Feb11,2024-01-24T20:08:08.171131
6.345966,8.134895,4.278118,8.134895,0.33829,0.433653,RGBLEDFamily_07Feb11,2024-01-24T20:08:16.552355
14.705583,14.239706,26.695544,14.239706,0.264295,0.255922,RGBLEDFamily_07Feb11,2024-01-24T20:08:23.202504
18.307166,25.845162,27.738064,25.845162,0.254654,0.359508,RGBLEDFamily_07Feb11,2024-01-24T20:08:28.129996
23.219165,18.909051,3.900665,18.909051,0.504448,0.410808,RGBLEDFamily_07Feb11,2024-01-24T20:08:43.900845
7.948916,7.093241,23.946846,7.093241,0.203876,0.181929,RGBLEDFamily_07Feb11,2024-01-24T20:08:50.691384
17.238027,11.791548,8.048674,11.791548,0.464909,0.318018,RGBLEDFamily_07Feb11,2024-01-24T20:08:58.092994
5.176198,3.954208,8.59418,3.954208,0.292035,0.223092,RGBLEDFamily_07Feb11,2024-01-24T20:09:09.252701
20.323387,27.275982,7.187034,27.275982,0.370957,0.49786,RGBLEDFamily_07Feb11,2024-01-24T20:09:17.435434
27.814026,26.46842,4.75563,26.46842,0.47112,0.448328,RGBLEDFamily_07Feb11,2024-01-24T20:09:26.159368
4.562536,3.665321,17.031958,3.665321,0.180624,0.145105,RGBLEDFamily_07Feb11,2024-01-24T20:09:49.176285
8.694388,14.242082,6.400217,14.242082,0.296366,0.48547,RGBLEDFamily_07Feb11,2024-01-24T20:09:56.416854
12.551145,7.653564,3.022705,7.653564,0.540359,0.329506,RGBLEDFamily_07Feb11,2024-01-24T20:10:05.870768
33.882772,36.558772,5.657805,36.558772,0.445244,0.480408,RGBLEDFamily_07Feb11,2024-01-24T20:10:13.522580
18.457591,12.326525,18.637594,12.326525,0.373471,0.249415,RGBLEDFamily_07Feb11,2024-01-24T20:10:21.028273
9.718137,12.610413,24.756862,12.610413,0.206394,0.26782,RGBLEDFamily_07Feb11,2024-01-24T20:10:29.174306
51.990224,56.092988,58.94133,56.092988,0.311273,0.335837,RGBLEDFamily_07Feb11,2024-01-24T20:10:42.861498
33.620934,36.366304,39.227662,36.366304,0.307842,0.332979,RGBLEDFamily_07Feb11,2024-01-24T20:10:49.241685
20.666068,22.320844,24.217417,22.320844,0.307511,0.332134,RGBLEDFamily_07Feb11,2024-01-24T20:10:54.430507
10.995002,11.816869,12.79872,11.816869,0.308757,0.331836,RGBLEDFamily_07Feb11,2024-01-24T20:11:00.364190
5.05582,5.468814,6.110143,5.468814,0.303931,0.328758,RGBLEDFamily_07Feb11,2024-01-24T20:11:08.395012
1.813738,1.954128,2.18626,1.954128,0.304619,0.328197,RGBLEDFamily_07Feb11,2024-01-24T20:11:18.665837
