X,Y,Z,Y,x,y,ccss_fname,Date
6.704152,6.103939,4.04222,6.103939,0.397865,0.362245,WLEDFamily_07Feb11,2024-01-24T20:21:11.357500
22.864527,21.058313,15.27562,21.058313,0.386235,0.355724,WLEDFamily_07Feb11,2024-01-24T20:21:26.087680
10.286025,11.211906,20.460234,11.211906,0.24515,0.267216,WLEDFamily_07Feb11,2024-01-24T20:21:32.745344
6.335379,8.032858,4.258237,8.032858,0.340128,0.43126,WLEDFamily_07Feb11,2024-01-24T20:21:40.072559
14.799707,14.10883,26.600438,14.10883,0.266618,0.254172,WLEDFamily_07Feb11,2024-01-24T20:21:45.969168
18.321761,25.552819,27.659032,25.552819,0.256128,0.357214,WLEDFamily_07Feb11,2024-01-24T20:21:50.930427
23.422811,18.683198,3.897021,18.683198,0.509158,0.40613,WLEDFamily_07Feb11,2024-01-24T20:22:04.308642
7.932557,7.018138,23.846283,7.018138,0.204463,0.180894,WLEDFamily_07Feb11,2024-01-24T20:22:23.095039
17.194164,11.594371,7.986465,11.594371,0.46755,0.315279,WLEDFamily_07Feb11,2024-01-24T20:22:30.298058
5.170828,3.892492,8.552217,3.892492,0.293538,0.220969,WLEDFamily_07Feb11,2024-01-24T20:22:39.933914
20.358178,26.967554,7.199844,26.967554,0.373369,0.494585,WLEDFamily_07Feb11,2024-01-24T20:22:46.084615
28.118985,26.326684,4.750804,26.326684,0.475011,0.444734,WLEDFamily_07Feb11,2024-01-24T20:22:53.317495
4.557098,3.623285,16.949791,3.623285,0.18134,0.144181,WLEDFamily_07Feb11,2024-01-24T20:23:06.616498
8.695501,14.018648,6.3885,14.018648,0.298787,0.481697,WLEDFamily_07Feb11,2024-01-24T20:23:13.495221
12.483345,7.495637,3.003939,7.495637,0.543157,0.326139,WLEDFamily_07Feb11,2024-01-24T20:23:22.679191
34.146503,36.11776,5.666229,36.11776,0.449707,0.475669,WLEDFamily_07Feb11,2024-01-24T20:23:31.008146
18.360927,12.078355,18.5991,12.078355,0.37442,0.246304,WLEDFamily_07Feb11,2024-01-24T20:23:39.033238
9.718328,12.438245,24.719152,12.438245,0.207321,0.265345,WLEDFamily_07Feb11,2024-01-24T20:23:50.204664
52.334253,55.719749,59.020961,55.719749,0.313238,0.333501,WLEDFamily_07Feb11,2024-01-24T20:24:02.112089
33.758573,35.949801,39.108595,35.949801,0.310233,0.330369,WLEDFamily_07Feb11,2024-01-24T20:24:07.519387
20.75539,22.182504,24.17846,22.182504,0.309245,0.330508,WLEDFamily_07Feb11,2024-01-24T20:24:13.143365
10.972238,11.64621,12.687773,11.64621,0.310774,0.329863,WLEDFamily_07Feb11,2024-01-24T20:24:19.865968
5.065012,5.408833,6.079437,5.408833,0.305982,0.326753,WLEDFamily_07Feb11,2024-01-24T20:24:27.842291
1.832179,1.934863,2.18133,1.934863,0.308014,0.325276,WLEDFamily_07Feb11,2024-01-24T20:24:39.576774
