ColorCompass Spectrum data( MFA Model)
device,18F00145,
date,2024/02/07,
time,22:04:54,
temperature,28.8,
340,202.1,
341,201.8,
342,218.4,
343,240.6,
344,261.6,
345,266.6,
346,271.7,
347,257.9,
348,215.7,
349,173.4,
350,180.7,
351,206.6,
352,229.8,
353,212.2,
354,194.6,
355,189.7,
356,203.8,
357,217.9,
358,223.6,
359,226.2,
360,225.4,
361,184.5,
362,143.7,
363,122.9,
364,128.6,
365,134.3,
366,140.3,
367,146.4,
368,156.2,
369,189.9,
370,223.6,
371,231.3,
372,212.1,
373,193.0,
374,181.6,
375,171.5,
376,168.2,
377,188.5,
378,208.9,
379,203.2,
380,179.4,
381,155.6,
382,157.2,
383,159.9,
384,162.5,
385,165.1,
386,167.7,
387,176.1,
388,186.9,
389,196.8,
390,199.8,
391,202.7,
392,205.6,
393,208.3,
394,211.1,
395,193.7,
396,173.6,
397,162.1,
398,172.6,
399,183.2,
400,185.7,
401,184.4,
402,184.9,
403,205.8,
404,226.7,
405,228.2,
406,209.5,
407,190.8,
408,224.4,
409,263.6,
410,297.2,
411,319.2,
412,341.2,
413,356.8,
414,370.3,
415,387.0,
416,420.4,
417,453.8,
418,497.7,
419,548.7,
420,599.2,
421,626.9,
422,654.7,
423,706.6,
424,786.5,
425,866.5,
426,1002.6,
427,1144.9,
428,1298.7,
429,1474.3,
430,1649.9,
431,2036.4,
432,2476.8,
433,3028.6,
434,3914.9,
435,4801.2,
436,6095.3,
437,7557.7,
438,9177.7,
439,11565.6,
440,13953.4,
441,17088.9,
442,20650.0,
443,24297.9,
444,28659.4,
445,33020.8,
446,36906.5,
447,40453.5,
448,43941.4,
449,46568.5,
450,49195.6,
451,51144.8,
452,52537.2,
453,53836.5,
454,52789.4,
455,51742.2,
456,50513.7,
457,49125.7,
458,47711.3,
459,45451.9,
460,43192.5,
461,41024.8,
462,38937.3,
463,36851.6,
464,34809.1,
465,32766.6,
466,30975.9,
467,29388.7,
468,27838.9,
469,26786.5,
470,25734.1,
471,24873.7,
472,24145.7,
473,23423.6,
474,22745.1,
475,22066.6,
476,21308.4,
477,20507.1,
478,19706.7,
479,18909.8,
480,18113.0,
481,17252.5,
482,16368.0,
483,15428.2,
484,14340.2,
485,13252.2,
486,12185.6,
487,11123.6,
488,10177.5,
489,9422.2,
490,8666.9,
491,7852.2,
492,7033.5,
493,6329.3,
494,5738.1,
495,5151.6,
496,4625.4,
497,4099.1,
498,3684.5,
499,3330.2,
500,3004.6,
501,2775.3,
502,2546.1,
503,2385.4,
504,2240.2,
505,2099.4,
506,1964.8,
507,1830.3,
508,1751.0,
509,1671.7,
510,1605.5,
511,1548.0,
512,1498.9,
513,1482.1,
514,1465.3,
515,1474.6,
516,1489.7,
517,1502.9,
518,1513.5,
519,1521.3,
520,1480.2,
521,1439.2,
522,1422.0,
523,1415.9,
524,1403.3,
525,1376.6,
526,1349.9,
527,1302.6,
528,1254.2,
529,1202.2,
530,1147.7,
531,1097.1,
532,1058.0,
533,1018.9,
534,984.3,
535,950.2,
536,892.6,
537,816.1,
538,748.2,
539,710.8,
540,673.4,
541,631.9,
542,590.0,
543,539.8,
544,483.1,
545,434.6,
546,411.5,
547,388.3,
548,369.7,
549,351.4,
550,319.3,
551,278.9,
552,249.2,
553,242.6,
554,236.3,
555,247.1,
556,257.9,
557,206.7,
558,132.5,
559,109.6,
560,150.9,
561,183.0,
562,167.2,
563,151.3,
564,151.5,
565,153.7,
566,139.7,
567,115.8,
568,103.3,
569,111.6,
570,118.6,
571,113.6,
572,108.7,
573,134.4,
574,165.7,
575,170.5,
576,157.6,
577,142.5,
578,123.7,
579,107.1,
580,107.2,
581,107.3,
582,108.0,
583,108.8,
584,86.7,
585,53.3,
586,42.9,
587,60.0,
588,73.8,
589,77.1,
590,79.9,
591,69.6,
592,59.4,
593,54.3,
594,50.1,
595,56.3,
596,68.2,
597,80.1,
598,92.1,
