ColorCompass Spectrum data( MFA Model)
device,18F00145,
date,2024/02/07,
time,22:04:14,
temperature,28.7,
340,157.3,
341,144.4,
342,161.6,
343,189.1,
344,213.7,
345,200.2,
346,186.7,
347,169.7,
348,147.4,
349,125.0,
350,137.7,
351,163.6,
352,186.6,
353,166.2,
354,145.9,
355,146.5,
356,178.9,
357,211.2,
358,239.7,
359,266.8,
360,285.0,
361,203.3,
362,121.6,
363,80.6,
364,93.6,
365,106.6,
366,120.0,
367,133.4,
368,144.3,
369,138.3,
370,132.3,
371,140.2,
372,162.6,
373,184.9,
374,185.5,
375,182.4,
376,174.8,
377,151.3,
378,127.7,
379,112.4,
380,102.7,
381,93.1,
382,89.0,
383,85.1,
384,90.1,
385,112.2,
386,134.3,
387,129.2,
388,113.5,
389,99.9,
390,104.4,
391,108.9,
392,117.1,
393,129.0,
394,140.9,
395,137.9,
396,133.0,
397,129.3,
398,128.7,
399,128.2,
400,115.4,
401,96.9,
402,81.8,
403,104.5,
404,127.1,
405,135.1,
406,127.9,
407,120.7,
408,125.2,
409,131.0,
410,137.1,
411,144.1,
412,151.1,
413,140.8,
414,124.4,
415,112.4,
416,123.4,
417,134.4,
418,144.8,
419,154.9,
420,164.5,
421,155.9,
422,147.2,
423,143.4,
424,145.4,
425,147.4,
426,153.7,
427,160.5,
428,159.5,
429,143.8,
430,128.1,
431,151.5,
432,184.8,
433,205.1,
434,186.3,
435,167.5,
436,182.4,
437,211.2,
438,235.3,
439,236.8,
440,238.2,
441,250.9,
442,270.0,
443,287.3,
444,289.8,
445,292.2,
446,318.6,
447,361.9,
448,401.6,
449,387.9,
450,374.3,
451,398.4,
452,453.4,
453,505.4,
454,478.0,
455,450.6,
456,433.9,
457,426.5,
458,419.6,
459,428.3,
460,437.0,
461,447.0,
462,458.2,
463,468.5,
464,457.0,
465,445.6,
466,434.2,
467,422.8,
468,415.0,
469,453.3,
470,491.7,
471,516.2,
472,531.1,
473,551.9,
474,615.8,
475,679.8,
476,747.1,
477,816.1,
478,888.5,
479,975.8,
480,1063.1,
481,1176.5,
482,1299.8,
483,1413.9,
484,1503.3,
485,1592.8,
486,1713.1,
487,1840.1,
488,1964.7,
489,2085.5,
490,2206.3,
491,2328.6,
492,2451.0,
493,2591.2,
494,2748.9,
495,2908.7,
496,3095.4,
497,3282.1,
498,3558.8,
499,3884.2,
500,4234.9,
501,4670.5,
502,5106.2,
503,5705.9,
504,6342.9,
505,7079.6,
506,7962.9,
507,8846.4,
508,10060.7,
509,11275.0,
510,12648.2,
511,14126.6,
512,15684.3,
513,17544.8,
514,19405.4,
515,21722.3,
516,24140.3,
517,26654.3,
518,29293.0,
519,31912.1,
520,34203.9,
521,36495.7,
522,38883.3,
523,41315.5,
524,43559.2,
525,45393.2,
526,47227.1,
527,48210.3,
528,49151.0,
529,49846.9,
530,50376.1,
531,50717.5,
532,50473.9,
533,50230.3,
534,49356.7,
535,48410.1,
536,47018.7,
537,45270.6,
538,43554.3,
539,41951.7,
540,40349.1,
541,38526.7,
542,36676.8,
543,34885.6,
544,33139.8,
545,31400.8,
546,29683.2,
547,27965.6,
548,26475.6,
549,25002.8,
550,23675.3,
551,22436.3,
552,21243.7,
553,20150.4,
554,19061.9,
555,18192.0,
556,17322.1,
557,16451.9,
558,15581.6,
559,14778.0,
560,14058.0,
561,13359.3,
562,12769.7,
563,12180.0,
564,11571.5,
565,10960.5,
566,10402.5,
567,9877.2,
568,9346.9,
569,8807.3,
570,8267.8,
571,7728.7,
572,7189.5,
573,6656.8,
574,6125.3,
575,5621.9,
576,5137.5,
577,4678.4,
578,4264.4,
579,3852.6,
580,3456.1,
581,3059.7,
582,2678.7,
583,2299.5,
584,2018.5,
585,1785.6,
586,1567.3,
587,1366.6,
588,1172.0,
589,996.8,
590,824.6,
591,733.4,
592,642.2,
593,563.1,
594,486.4,
595,439.0,
596,407.8,
597,379.4,
598,354.1,
599,330.4,
600,311.0,
601,294.0,
602,299.6,
603,305.2,
604,300.4,
605,294.8,
606,280.4,
607,263.3,
608,261.1,
609,268.6,
610,297.7,
611,352.8,
612,395.3,
613,409.1,
614,425.8,
615,457.2,
616,487.8,
617,495.3,
618,502.9,
619,522.9,
620,544.3,
621,554.2,
622,560.9,
623,588.5,
624,626.5,
625,652.0,
626,667.3,
627,697.3,
628,744.8,
629,776.6,
630,780.4,
631,787.1,
632,802.1,
633,818.6,
634,841.9,
635,861.3,
636,846.7,
637,831.9,
638,813.1,
639,794.4,
640,809.9,
641,826.8,
642,765.2,
643,695.4,
644,685.6,
645,686.3,
646,688.7,
647,691.5,
648,669.2,
649,639.1,
650,573.2,
651,493.8,
652,470.1,
653,470.4,
654,465.7,
655,458.6,
656,447.5,
657,434.4,
658,407.0,
659,371.8,
660,364.9,
661,373.5,
662,410.2,
663,462.2,
664,428.8,
665,351.1,
666,293.2,
667,244.9,
668,230.9,
669,231.9,
670,243.1,
671,258.1,
672,251.5,
673,238.0,
674,174.1,
675,97.7,
676,161.5,
677,250.6,
678,248.1,
679,235.7,
680,200.6,
681,166.1,
682,181.4,
683,197.3,
684,218.6,
685,226.8,
686,175.2,
687,125.9,
688,83.2,
689,91.3,
690,190.0,
691,225.0,
692,184.1,
693,155.2,
694,135.5,
695,161.8,
696,210.4,
697,145.5,
698,50.7,
699,94.7,
700,151.9,
701,214.9,
702,256.5,
703,202.4,
704,170.0,
705,182.0,
706,166.0,
707,119.2,
708,118.7,
709,145.1,
710,147.3,
711,143.3,
712,176.7,
713,200.3,
714,156.2,
715,138.7,
716,176.9,
717,215.5,
718,254.3,
719,228.7,
720,176.4,
721,103.4,
722,43.5,
723,98.8,
724,146.2,
725,177.6,
726,163.6,
727,112.8,
728,111.2,
729,124.2,
730,192.1,
731,235.2,
732,205.7,
733,182.4,
734,165.1,
735,187.8,
736,223.8,
737,271.5,
738,275.1,
739,164.4,
740,157.3,
741,235.1,
742,191.7,
743,143.5,
744,255.0,
745,316.5,
746,304.3,
747,215.7,
748,96.1,
749,241.9,
750,336.0,
751,317.5,
752,256.0,
753,169.4,
754,189.6,
755,234.4,
756,328.7,
757,323.4,
758,257.0,
759,259.1,
760,270.8,
761,297.6,
762,231.8,
763,123.8,
764,208.8,
765,226.9,
766,140.7,
767,117.1,
768,123.7,
769,194.2,
770,238.6,
771,259.7,
772,274.8,
773,282.3,
774,274.4,
775,278.3,
776,279.5,
777,232.1,
778,341.0,
779,578.9,
780,355.7,
781,232.7,
782,282.5,
783,239.2,
784,197.1,
785,207.9,
786,355.8,
787,489.5,
788,298.1,
789,259.3,
790,307.5,
791,333.9,
792,269.0,
793,147.5,
794,327.1,
795,404.3,
796,387.2,
797,265.9,
798,255.8,
799,353.7,
800,438.5,
801,460.2,
802,418.9,
803,254.9,
804,317.6,
805,547.0,
806,415.1,
807,406.7,
808,461.3,
809,369.5,
810,283.5,
811,241.2,
812,348.5,
813,380.0,
814,379.2,
815,359.3,
816,597.5,
817,679.8,
818,545.2,
819,820.5,
820,828.2,
821,685.6,
822,642.0,
823,550.9,
824,441.4,
825,323.7,
826,392.2,
827,397.4,
828,396.1,
829,569.1,
830,365.3,
831,342.2,
832,648.1,
833,587.2,
834,550.0,
835,564.9,
836,664.2,
837,394.7,
838,449.0,
839,653.2,
840,706.2,
841,349.6,
842,396.2,
843,773.0,
844,1233.9,
845,735.4,
846,763.5,
847,1126.1,
848,1357.5,
849,1145.9,
850,895.7,
