ColorCompass Spectrum data( MFA Model)
device,18F00145,
date,2024/02/07,
time,22:03:03,
temperature,28.6,
340,181.4,
341,193.7,
342,206.4,
343,219.2,
344,230.8,
345,227.0,
346,223.2,
347,210.9,
348,185.8,
349,160.6,
350,180.1,
351,216.3,
352,248.1,
353,210.2,
354,172.3,
355,164.0,
356,200.6,
357,237.2,
358,240.7,
359,232.4,
360,223.0,
361,200.8,
362,178.6,
363,163.5,
364,158.0,
365,152.4,
366,151.7,
367,152.4,
368,151.2,
369,138.0,
370,124.8,
371,125.7,
372,141.1,
373,156.5,
374,148.6,
375,136.7,
376,127.5,
377,128.2,
378,128.8,
379,127.2,
380,124.1,
381,120.9,
382,138.2,
383,156.3,
384,161.7,
385,142.1,
386,122.6,
387,123.3,
388,132.0,
389,140.9,
390,151.0,
391,161.1,
392,162.4,
393,154.6,
394,146.9,
395,136.8,
396,126.4,
397,122.8,
398,136.7,
399,150.5,
400,133.5,
401,102.0,
402,74.9,
403,95.9,
404,117.0,
405,126.7,
406,124.7,
407,122.7,
408,120.9,
409,119.1,
410,117.9,
411,117.9,
412,117.9,
413,117.7,
414,117.5,
415,119.5,
416,133.1,
417,146.7,
418,157.3,
419,165.8,
420,174.1,
421,172.1,
422,170.1,
423,168.5,
424,167.4,
425,166.3,
426,163.7,
427,160.9,
428,160.0,
429,162.6,
430,165.2,
431,177.3,
432,191.9,
433,201.8,
434,197.5,
435,193.3,
436,196.9,
437,203.6,
438,211.2,
439,222.7,
440,234.3,
441,249.3,
442,266.3,
443,283.6,
444,302.4,
445,321.3,
446,357.5,
447,406.0,
448,451.4,
449,449.7,
450,447.9,
451,454.2,
452,467.0,
453,479.4,
454,478.9,
455,478.4,
456,465.3,
457,441.2,
458,417.9,
459,422.3,
460,426.7,
461,413.5,
462,384.7,
463,356.3,
464,336.1,
465,315.8,
466,308.3,
467,311.0,
468,313.8,
469,316.7,
470,319.6,
471,305.0,
472,278.1,
473,256.6,
474,274.4,
475,292.2,
476,306.4,
477,318.6,
478,329.8,
479,336.5,
480,343.3,
481,323.4,
482,293.5,
483,268.6,
484,257.1,
485,245.6,
486,261.6,
487,283.4,
488,291.6,
489,277.3,
490,262.9,
491,252.2,
492,241.7,
493,256.4,
494,295.9,
495,329.2,
496,285.3,
497,241.3,
498,223.7,
499,220.3,
500,224.3,
501,253.6,
502,282.8,
503,283.6,
504,277.8,
505,280.3,
506,294.7,
507,309.2,
