ColorCompass Spectrum data( MFA Model)
device,18F00145,
date,2024/02/07,
time,22:01:07,
temperature,28.0,
340,358.5,
341,349.6,
342,374.4,
343,410.5,
344,443.0,
345,428.5,
346,414.0,
347,401.1,
348,390.8,
349,380.4,
350,382.6,
351,389.4,
352,394.2,
353,366.1,
354,338.1,
355,325.2,
356,335.0,
357,344.9,
358,348.0,
359,348.7,
360,346.9,
361,316.6,
362,286.4,
363,272.6,
364,280.9,
365,289.2,
366,300.8,
367,313.4,
368,322.2,
369,306.7,
370,291.3,
371,285.0,
372,288.3,
373,291.5,
374,299.7,
375,308.8,
376,312.6,
377,297.7,
378,282.8,
379,282.0,
380,291.0,
381,300.0,
382,303.1,
383,305.9,
384,305.9,
385,300.2,
386,294.5,
387,294.1,
388,295.7,
389,301.6,
390,344.1,
391,386.6,
392,398.2,
393,377.8,
394,357.4,
395,335.3,
396,313.0,
397,308.3,
398,349.1,
399,389.8,
400,374.6,
401,333.2,
402,295.3,
403,297.3,
404,299.3,
405,308.4,
406,324.8,
407,341.2,
408,382.6,
409,426.7,
410,452.6,
411,439.9,
412,427.2,
413,459.7,
414,508.3,
415,555.8,
416,597.5,
417,639.2,
418,670.0,
419,693.2,
420,717.4,
421,775.6,
422,833.7,
423,905.1,
424,991.8,
425,1078.5,
426,1191.4,
427,1307.2,
428,1449.6,
429,1641.9,
430,1834.3,
431,2211.3,
432,2635.6,
433,3174.3,
434,4056.6,
435,4938.9,
436,6237.9,
437,7708.8,
438,9335.5,
439,11721.2,
440,14106.9,
441,17247.2,
442,20817.1,
443,24461.9,
444,28721.6,
445,32981.4,
446,36784.8,
447,40263.4,
448,43688.0,
449,46328.3,
450,48968.6,
451,50953.1,
452,52398.9,
453,53746.5,
454,52619.6,
455,51492.6,
456,50245.6,
457,48893.0,
458,47514.1,
459,45294.2,
460,43074.4,
461,40929.1,
462,38849.0,
463,36772.8,
464,34785.8,
465,32798.7,
466,31025.6,
467,29425.3,
468,27871.8,
469,26940.3,
470,26008.8,
471,25183.8,
472,24432.2,
