Wavelength,W,R,G,B
340,358.5,181.4,157.3,202.1
341,349.6,193.7,144.4,201.8
342,374.4,206.4,161.6,218.4
343,410.5,219.2,189.1,240.6
344,443,230.8,213.7,261.6
345,428.5,227,200.2,266.6
346,414,223.2,186.7,271.7
347,401.1,210.9,169.7,257.9
348,390.8,185.8,147.4,215.7
349,380.4,160.6,125,173.4
350,382.6,180.1,137.7,180.7
351,389.4,216.3,163.6,206.6
352,394.2,248.1,186.6,229.8
353,366.1,210.2,166.2,212.2
354,338.1,172.3,145.9,194.6
355,325.2,164,146.5,189.7
356,335,200.6,178.9,203.8
357,344.9,237.2,211.2,217.9
358,348,240.7,239.7,223.6
359,348.7,232.4,266.8,226.2
360,346.9,223,285,225.4
361,316.6,200.8,203.3,184.5
362,286.4,178.6,121.6,143.7
363,272.6,163.5,80.6,122.9
364,280.9,158,93.6,128.6
365,289.2,152.4,106.6,134.3
366,300.8,151.7,120,140.3
367,313.4,152.4,133.4,146.4
368,322.2,151.2,144.3,156.2
369,306.7,138,138.3,189.9
370,291.3,124.8,132.3,223.6
371,285,125.7,140.2,231.3
372,288.3,141.1,162.6,212.1
373,291.5,156.5,184.9,193
374,299.7,148.6,185.5,181.6
375,308.8,136.7,182.4,171.5
376,312.6,127.5,174.8,168.2
377,297.7,128.2,151.3,188.5
378,282.8,128.8,127.7,208.9
379,282,127.2,112.4,203.2
380,291,124.1,102.7,179.4
381,300,120.9,93.1,155.6
382,303.1,138.2,89,157.2
383,305.9,156.3,85.1,159.9
384,305.9,161.7,90.1,162.5
385,300.2,142.1,112.2,165.1
386,294.5,122.6,134.3,167.7
387,294.1,123.3,129.2,176.1
388,295.7,132,113.5,186.9
389,301.6,140.9,99.9,196.8
390,344.1,151,104.4,199.8
391,386.6,161.1,108.9,202.7
392,398.2,162.4,117.1,205.6
393,377.8,154.6,129,208.3
394,357.4,146.9,140.9,211.1
395,335.3,136.8,137.9,193.7
396,313,126.4,133,173.6
397,308.3,122.8,129.3,162.1
398,349.1,136.7,128.7,172.6
399,389.8,150.5,128.2,183.2
400,374.6,133.5,115.4,185.7
401,333.2,102,96.9,184.4
402,295.3,74.9,81.8,184.9
403,297.3,95.9,104.5,205.8
404,299.3,117,127.1,226.7
405,308.4,126.7,135.1,228.2
406,324.8,124.7,127.9,209.5
407,341.2,122.7,120.7,190.8
408,382.6,120.9,125.2,224.4
409,426.7,119.1,131,263.6
410,452.6,117.9,137.1,297.2
411,439.9,117.9,144.1,319.2
412,427.2,117.9,151.1,341.2
413,459.7,117.7,140.8,356.8
414,508.3,117.5,124.4,370.3
415,555.8,119.5,112.4,387
416,597.5,133.1,123.4,420.4
417,639.2,146.7,134.4,453.8
418,670,157.3,144.8,497.7
419,693.2,165.8,154.9,548.7
420,717.4,174.1,164.5,599.2
421,775.6,172.1,155.9,626.9
422,833.7,170.1,147.2,654.7
423,905.1,168.5,143.4,706.6
424,991.8,167.4,145.4,786.5
425,1078.5,166.3,147.4,866.5
426,1191.4,163.7,153.7,1002.6
427,1307.2,160.9,160.5,1144.9
428,1449.6,160,159.5,1298.7
429,1641.9,162.6,143.8,1474.3
430,1834.3,165.2,128.1,1649.9
431,2211.3,177.3,151.5,2036.4
432,2635.6,191.9,184.8,2476.8
433,3174.3,201.8,205.1,3028.6
434,4056.6,197.5,186.3,3914.9
435,4938.9,193.3,167.5,4801.2
436,6237.9,196.9,182.4,6095.3
437,7708.8,203.6,211.2,7557.7
438,9335.5,211.2,235.3,9177.7
439,11721.2,222.7,236.8,11565.6
440,14106.9,234.3,238.2,13953.4
441,17247.2,249.3,250.9,17088.9
442,20817.1,266.3,270,20650
443,24461.9,283.6,287.3,24297.9
444,28721.6,302.4,289.8,28659.4
445,32981.4,321.3,292.2,33020.8
446,36784.8,357.5,318.6,36906.5
447,40263.4,406,361.9,40453.5
448,43688,451.4,401.6,43941.4
449,46328.3,449.7,387.9,46568.5
450,48968.6,447.9,374.3,49195.6
451,50953.1,454.2,398.4,51144.8
452,52398.9,467,453.4,52537.2
453,53746.5,479.4,505.4,53836.5
454,52619.6,478.9,478,52789.4
455,51492.6,478.4,450.6,51742.2
456,50245.6,465.3,433.9,50513.7
457,48893,441.2,426.5,49125.7
458,47514.1,417.9,419.6,47711.3
459,45294.2,422.3,428.3,45451.9
460,43074.4,426.7,437,43192.5
461,40929.1,413.5,447,41024.8
462,38849,384.7,458.2,38937.3
463,36772.8,356.3,468.5,36851.6
464,34785.8,336.1,457,34809.1
465,32798.7,315.8,445.6,32766.6
466,31025.6,308.3,434.2,30975.9
467,29425.3,311,422.8,29388.7
468,27871.8,313.8,415,27838.9
469,26940.3,316.7,453.3,26786.5
470,26008.8,319.6,491.7,25734.1
471,25183.8,305,516.2,24873.7
472,24432.2,278.1,531.1,24145.7
473,23700.9,256.6,551.9,23423.6
474,23120.7,274.4,615.8,22745.1
475,22540.5,292.2,679.8,22066.6
476,21901.6,306.4,747.1,21308.4
477,21230.9,318.6,816.1,20507.1
478,20543.6,329.8,888.5,19706.7
479,19783.3,336.5,975.8,18909.8
480,19023,343.3,1063.1,18113
481,18271.5,323.4,1176.5,17252.5
482,17523.4,293.5,1299.8,16368
483,16722.2,268.6,1413.9,15428.2
484,15778.8,257.1,1503.3,14340.2
485,14835.3,245.6,1592.8,13252.2
486,13890.8,261.6,1713.1,12185.6
487,12946,283.4,1840.1,11123.6
488,12110.3,291.6,1964.7,10177.5
489,11454.5,277.3,2085.5,9422.2
490,10798.7,262.9,2206.3,8666.9
491,10140.5,252.2,2328.6,7852.2
492,9482.3,241.7,2451,7033.5
493,8944.2,256.4,2591.2,6329.3
494,8524.8,295.9,2748.9,5738.1
495,8113.3,329.2,2908.7,5151.6
496,7802,285.3,3095.4,4625.4
497,7490.8,241.3,3282.1,4099.1
498,7354.7,223.7,3558.8,3684.5
499,7313.3,220.3,3884.2,3330.2
500,7326.3,224.3,4234.9,3004.6
501,7522,253.6,4670.5,2775.3
502,7717.6,282.8,5106.2,2546.1
503,8143.7,283.6,5705.9,2385.4
504,8622,277.8,6342.9,2240.2
505,9215.6,280.3,7079.6,2099.4
506,9978.3,294.7,7962.9,1964.8
507,10741.4,309.2,8846.4,1830.3
508,11849.9,328.9,10060.7,1751
509,12958.4,348.5,11275,1671.7
510,14249.5,372,12648.2,1605.5
511,15661.4,397.9,14126.6,1548
512,17154,422.8,15684.3,1498.9
513,18954.3,444.2,17544.8,1482.1
514,20754.6,465.6,19405.4,1465.3
515,23048.1,535.2,21722.3,1474.6
516,25450.9,615.6,24140.3,1489.7
517,27941.8,666.5,26654.3,1502.9
518,30547.3,679.2,29293,1513.5
519,33139.7,693.2,31912.1,1521.3
520,35514.4,728.9,34203.9,1480.2
521,37889.1,764.5,36495.7,1439.2
522,40244.6,835.6,38883.3,1422
523,42591.2,923.1,41315.5,1415.9
524,44807.5,984.7,43559.2,1403.3
525,46740.6,989.8,45393.2,1376.6
526,48673.8,994.9,47227.1,1349.9
527,49529.3,1031.2,48210.3,1302.6
528,50331,1069.2,49151,1254.2
529,51015.9,1103.8,49846.9,1202.2
530,51621.3,1136.1,50376.1,1147.7
531,51996.9,1151.9,50717.5,1097.1
532,51656.1,1116.4,50473.9,1058
533,51315.4,1081,50230.3,1018.9
534,50434.7,1059.7,49356.7,984.3
535,49491.5,1040.1,48410.1,950.2
536,48026,1027.9,47018.7,892.6
537,46141.7,1021.6,45270.6,816.1
538,44324.5,1008.6,43554.3,748.2
539,42746.1,971.6,41951.7,710.8
540,41167.8,934.6,40349.1,673.4
541,39321,898.7,38526.7,631.9
542,37440.6,863,36676.8,590
543,35558.6,843,34885.6,539.8
544,33675.2,835,33139.8,483.1
545,31834.3,815.1,31400.8,434.6
546,30124.9,758.5,29683.2,411.5
547,28415.5,701.9,27965.6,388.3
548,26913.5,680.9,26475.6,369.7
549,25427.1,662.5,25002.8,351.4
550,24124.5,642.6,23675.3,319.3
551,22933.8,621.8,22436.3,278.9
552,21746.1,606.3,21243.7,249.2
553,20564.9,602.3,20150.4,242.6
554,19389.7,597.5,19061.9,236.3
555,18484.1,561.2,18192,247.1
556,17578.6,524.8,17322.1,257.9
557,16701.2,495.2,16451.9,206.7
558,15834.2,468,15581.6,132.5
559,15027.8,459.5,14778,109.6
560,14297.5,474.5,14058,150.9
561,13592,490.1,13359.3,183
562,13014,509.3,12769.7,167.2
563,12436,528.4,12180,151.3
564,11862.6,519.1,11571.5,151.5
565,11289.7,506.2,10960.5,153.7
566,10740.4,502.6,10402.5,139.7
567,10205.7,504.6,9877.2,115.8
568,9673,498.6,9346.9,103.3
569,9143.8,477.9,8807.3,111.6
570,8617.2,461.1,8267.8,118.6
571,8114.7,479.6,7728.7,113.6
572,7612.2,498,7189.5,108.7
573,7076.1,524.1,6656.8,134.4
574,6533.9,551.5,6125.3,165.7
575,6020.9,557.7,5621.9,170.5
576,5527.7,549.8,5137.5,157.6
577,5070.9,561.1,4678.4,142.5
578,4679.5,607,4264.4,123.7
579,4293.3,650.6,3852.6,107.1
580,3944.2,678.5,3456.1,107.2
581,3595.1,706.4,3059.7,107.3
582,3305.7,751.3,2678.7,108
583,3023.3,798.3,2299.5,108.8
584,2831.7,883.9,2018.5,86.7
585,2684.6,988.5,1785.6,53.3
586,2588.3,1119.3,1567.3,42.9
587,2553.1,1281.7,1366.6,60
588,2537.8,1451,1172,73.8
589,2585,1641.7,996.8,77.1
590,2638.2,1836.9,824.6,79.9
591,2852.8,2150.6,733.4,69.6
592,3067.3,2464.4,642.2,59.4
593,3436,2859.5,563.1,54.3
594,3834.9,3270.5,486.4,50.1
595,4256.9,3761.7,439,56.3
596,4692,4297.5,407.8,68.2
597,5238.2,4925.3,379.4,80.1
598,5918,5663.5,354.1,92.1
599,6638.8,6427.4,330.4,99.2
600,7469.4,7259.9,311,93.1
601,8313.6,8106.1,294,89
602,9285.1,9081.9,299.6,103
603,10256.6,10057.6,305.2,117
604,11436,11273.5,300.4,152.6
605,12631.9,12508.6,294.8,189.9
606,13984,13849.6,280.4,178
