X,Y,Z,Y,x,y,ccss_fname,Date
9.142144,8.168824,4.991114,8.168824,0.409923,0.366281,RGBLEDFamily_07Feb11,2024-02-15T22:35:10.727596
33.982512,30.819771,20.633339,30.819771,0.397756,0.360737,RGBLEDFamily_07Feb11,2024-02-15T22:35:14.497334
14.698656,16.084341,27.985264,16.084341,0.250112,0.273691,RGBLEDFamily_07Feb11,2024-02-15T22:35:18.690213
8.627126,10.955386,5.219157,10.955386,0.347845,0.44172,RGBLEDFamily_07Feb11,2024-02-15T22:35:24.549577
21.325613,20.263354,36.921978,20.263354,0.271626,0.258096,RGBLEDFamily_07Feb11,2024-02-15T22:35:28.522204
26.924431,38.291402,38.579029,38.291402,0.2594,0.368914,RGBLEDFamily_07Feb11,2024-02-15T22:35:32.055000
35.159577,27.134537,5.065823,27.134537,0.521966,0.402829,RGBLEDFamily_07Feb11,2024-02-15T22:35:38.032655
11.10535,9.734331,32.303308,9.734331,0.208971,0.183172,RGBLEDFamily_07Feb11,2024-02-15T22:35:42.772348
25.405534,16.541372,10.324331,16.541372,0.486033,0.316453,RGBLEDFamily_07Feb11,2024-02-15T22:35:47.553473
6.998706,5.183698,10.874821,5.183698,0.303536,0.224819,RGBLEDFamily_07Feb11,2024-02-15T22:35:54.540253
30.059482,40.178983,9.482812,40.178983,0.377057,0.503993,RGBLEDFamily_07Feb11,2024-02-15T22:35:59.215517
42.642767,39.026704,6.355048,39.026704,0.484442,0.443362,RGBLEDFamily_07Feb11,2024-02-15T22:36:04.648515
6.325114,4.90673,22.717849,4.90673,0.186308,0.144529,RGBLEDFamily_07Feb11,2024-02-15T22:36:11.420348
12.106887,20.078639,8.020794,20.078639,0.301119,0.49939,RGBLEDFamily_07Feb11,2024-02-15T22:36:16.270741
18.146837,10.465711,3.723083,10.465711,0.561202,0.323659,RGBLEDFamily_07Feb11,2024-02-15T22:36:23.156895
52.807647,55.048392,7.822988,55.048392,0.456501,0.475872,RGBLEDFamily_07Feb11,2024-02-15T22:36:28.048102
27.389801,17.557942,25.293758,17.557942,0.389938,0.249965,RGBLEDFamily_07Feb11,2024-02-15T22:36:32.570623
12.401412,17.060502,34.039421,17.060502,0.195294,0.268664,RGBLEDFamily_07Feb11,2024-02-15T22:36:36.697907
