X,Y,Z,Y,x,y,ccss_fname,Date
0.018257,0.020407,0.015759,0.020407,0.335464,0.374974,RGBLEDFamily_07Feb11,2024-02-14T06:36:31.935159
0.018109,0.02024,0.015654,0.02024,0.335341,0.374794,RGBLEDFamily_07Feb11,2024-02-14T06:36:42.703023
0.017931,0.020053,0.01551,0.020053,0.335199,0.374858,RGBLEDFamily_07Feb11,2024-02-14T06:36:53.598931
0.016962,0.019539,0.015318,0.019539,0.327333,0.37707,RGBLEDFamily_07Feb11,2024-02-14T06:37:04.538964
0.016927,0.019533,0.015333,0.019533,0.326821,0.377136,RGBLEDFamily_07Feb11,2024-02-14T06:37:15.522804
0.040228,0.044728,0.034759,0.044728,0.336032,0.373621,RGBLEDFamily_07Feb11,2024-02-14T06:37:25.094846
0.081313,0.090861,0.067169,0.090861,0.339733,0.379626,RGBLEDFamily_07Feb11,2024-02-14T06:37:34.566854
0.13591,0.152668,0.119548,0.152668,0.33301,0.374071,RGBLEDFamily_07Feb11,2024-02-14T06:37:43.960809
0.194474,0.218922,0.173493,0.218922,0.331365,0.373021,RGBLEDFamily_07Feb11,2024-02-14T06:37:53.481011
0.281731,0.316119,0.260106,0.316119,0.328374,0.368456,RGBLEDFamily_07Feb11,2024-02-14T06:38:02.736966
0.394387,0.448213,0.355203,0.448213,0.329259,0.374195,RGBLEDFamily_07Feb11,2024-02-14T06:38:11.983650
0.527475,0.595617,0.48018,0.595617,0.328999,0.371501,RGBLEDFamily_07Feb11,2024-02-14T06:38:21.215087
0.663557,0.751069,0.611772,0.751069,0.327456,0.370642,RGBLEDFamily_07Feb11,2024-02-14T06:38:30.415077
0.835243,0.943882,0.761665,0.943882,0.328734,0.371492,RGBLEDFamily_07Feb11,2024-02-14T06:38:39.620893
1.022756,1.15553,0.945056,1.15553,0.327456,0.369966,RGBLEDFamily_07Feb11,2024-02-14T06:38:48.853256
1.202137,1.341255,1.135641,1.341255,0.326754,0.364567,RGBLEDFamily_07Feb11,2024-02-14T06:38:58.093247
1.429052,1.59199,1.356735,1.59199,0.326433,0.363653,RGBLEDFamily_07Feb11,2024-02-14T06:39:07.243164
1.682879,1.874669,1.59402,1.874669,0.326673,0.363903,RGBLEDFamily_07Feb11,2024-02-14T06:39:16.383948
1.955139,2.174778,1.858573,2.174778,0.326483,0.36316,RGBLEDFamily_07Feb11,2024-02-14T06:39:25.539893
2.231942,2.48311,2.117879,2.48311,0.326645,0.363403,RGBLEDFamily_07Feb11,2024-02-14T06:39:34.695407
2.556599,2.842782,2.422051,2.842782,0.326871,0.363461,RGBLEDFamily_07Feb11,2024-02-14T06:39:43.847631
2.887465,3.223899,2.721012,3.223899,0.326918,0.365009,RGBLEDFamily_07Feb11,2024-02-14T06:39:52.678730
3.223124,3.598757,3.013895,3.598757,0.327694,0.365884,RGBLEDFamily_07Feb11,2024-02-14T06:40:00.841207
3.610944,4.043038,3.386845,4.043038,0.327054,0.36619,RGBLEDFamily_07Feb11,2024-02-14T06:40:08.450935
4.038393,4.532259,3.798133,4.532259,0.326499,0.366427,RGBLEDFamily_07Feb11,2024-02-14T06:40:15.607629
4.457162,4.986541,4.211735,4.986541,0.326402,0.365169,RGBLEDFamily_07Feb11,2024-02-14T06:40:22.331162
4.968708,5.564128,4.702682,5.564128,0.326127,0.365208,RGBLEDFamily_07Feb11,2024-02-14T06:40:28.671683
5.491412,6.142166,5.203455,6.142166,0.326151,0.364801,RGBLEDFamily_07Feb11,2024-02-14T06:40:34.776299
6.048228,6.766088,5.719422,6.766088,0.326336,0.365069,RGBLEDFamily_07Feb11,2024-02-14T06:40:40.527728
6.582637,7.365995,6.230485,7.365995,0.32621,0.365031,RGBLEDFamily_07Feb11,2024-02-14T06:40:46.143954
7.218201,8.10447,6.836543,8.10447,0.325743,0.365738,RGBLEDFamily_07Feb11,2024-02-14T06:40:51.461164
7.856738,8.801084,7.458026,8.801084,0.325791,0.36495,RGBLEDFamily_07Feb11,2024-02-14T06:40:56.672150
