X,Y,Z,Y,x,y,ccss_fname,Date
0.0,0.0,0.0,0.0,0.333333,0.333333,RGBLEDFamily_07Feb11,2024-02-14T19:42:43.816883
0.0,0.0,0.0,0.0,0.333333,0.333333,RGBLEDFamily_07Feb11,2024-02-14T19:42:52.989519
0.010531,0.009871,0.013048,0.009871,0.314832,0.295095,RGBLEDFamily_07Feb11,2024-02-14T19:43:04.343531
0.024962,0.027517,0.035382,0.027517,0.284105,0.313187,RGBLEDFamily_07Feb11,2024-02-14T19:43:14.487027
0.053897,0.055662,0.070906,0.055662,0.298656,0.308437,RGBLEDFamily_07Feb11,2024-02-14T19:43:24.332976
0.092914,0.095267,0.114811,0.095267,0.306655,0.31442,RGBLEDFamily_07Feb11,2024-02-14T19:43:33.699928
0.152016,0.159823,0.179659,0.159823,0.309291,0.325175,RGBLEDFamily_07Feb11,2024-02-14T19:43:43.393441
0.232562,0.243034,0.265993,0.243034,0.3136,0.32772,RGBLEDFamily_07Feb11,2024-02-14T19:43:52.752702
0.347782,0.365365,0.383074,0.365365,0.317256,0.333295,RGBLEDFamily_07Feb11,2024-02-14T19:44:02.035413
0.502875,0.532888,0.549956,0.532888,0.317127,0.336054,RGBLEDFamily_07Feb11,2024-02-14T19:44:11.290426
0.709249,0.752721,0.782127,0.752721,0.316051,0.335423,RGBLEDFamily_07Feb11,2024-02-14T19:44:20.544299
0.985735,1.049214,1.065076,1.049214,0.317976,0.338453,RGBLEDFamily_07Feb11,2024-02-14T19:44:29.782583
1.307868,1.390352,1.417787,1.390352,0.317752,0.337791,RGBLEDFamily_07Feb11,2024-02-14T19:44:38.999481
1.750579,1.857633,1.893713,1.857633,0.318176,0.337633,RGBLEDFamily_07Feb11,2024-02-14T19:44:48.136091
2.30111,2.439292,2.479048,2.439292,0.318738,0.337878,RGBLEDFamily_07Feb11,2024-02-14T19:44:57.283705
2.978596,3.154535,3.191756,3.154535,0.319424,0.338292,RGBLEDFamily_07Feb11,2024-02-14T19:45:06.168487
3.804133,4.040536,4.076003,4.040536,0.319121,0.338952,RGBLEDFamily_07Feb11,2024-02-14T19:45:13.786351
4.836602,5.115375,5.134173,5.115375,0.320599,0.339078,RGBLEDFamily_07Feb11,2024-02-14T19:45:20.523387
6.048943,6.405033,6.474035,6.405033,0.319576,0.338389,RGBLEDFamily_07Feb11,2024-02-14T19:45:26.456631
7.56559,8.013687,8.093773,8.013687,0.319587,0.338515,RGBLEDFamily_07Feb11,2024-02-14T19:45:31.874452
9.36036,9.900588,10.021383,9.900588,0.319659,0.338108,RGBLEDFamily_07Feb11,2024-02-14T19:45:36.866769
11.538784,12.205518,12.394808,12.205518,0.319288,0.337737,RGBLEDFamily_07Feb11,2024-02-14T19:45:41.516495
14.251288,15.081308,15.287324,15.081308,0.319393,0.337995,RGBLEDFamily_07Feb11,2024-02-14T19:45:45.820364
17.281209,18.277741,18.49351,18.277741,0.319712,0.338148,RGBLEDFamily_07Feb11,2024-02-14T19:45:49.915591
20.994742,22.262199,22.424015,22.262199,0.319647,0.338945,RGBLEDFamily_07Feb11,2024-02-14T19:45:53.895923
25.559531,27.084991,27.474952,27.084991,0.319018,0.338058,RGBLEDFamily_07Feb11,2024-02-14T19:45:57.660428
31.000861,32.776359,33.393053,32.776359,0.319036,0.337308,RGBLEDFamily_07Feb11,2024-02-14T19:46:01.254906
37.517355,39.569243,40.421779,39.569243,0.319274,0.336736,RGBLEDFamily_07Feb11,2024-02-14T19:46:04.816425
45.224995,47.859503,48.74146,47.859503,0.318877,0.337452,RGBLEDFamily_07Feb11,2024-02-14T19:46:08.366762
53.946169,57.099591,58.438272,57.099591,0.318296,0.336902,RGBLEDFamily_07Feb11,2024-02-14T19:46:11.797705
64.046977,67.578408,69.136258,67.578408,0.31902,0.33661,RGBLEDFamily_07Feb11,2024-02-14T19:46:15.246380
75.421458,79.634961,81.45029,79.634961,0.318898,0.336713,RGBLEDFamily_07Feb11,2024-02-14T19:46:18.590512
88.225468,93.235696,95.293632,93.235696,0.318786,0.336889,RGBLEDFamily_07Feb11,2024-02-14T19:46:21.701426
99.068067,104.717947,107.245394,104.717947,0.318515,0.33668,RGBLEDFamily_07Feb11,2024-02-14T19:46:24.813463
112.293977,118.662881,121.722077,118.662881,0.318403,0.336461,RGBLEDFamily_07Feb11,2024-02-14T19:46:27.931500
126.582704,134.233205,136.886249,134.233205,0.318285,0.337522,RGBLEDFamily_07Feb11,2024-02-14T19:46:31.038747
143.270278,151.584173,155.229308,151.584173,0.318319,0.336791,RGBLEDFamily_07Feb11,2024-02-14T19:46:34.143934
159.632847,168.961099,173.742206,168.961099,0.317781,0.336351,RGBLEDFamily_07Feb11,2024-02-14T19:46:37.259200
175.548683,185.532418,190.077657,185.532418,0.318508,0.336622,RGBLEDFamily_07Feb11,2024-02-14T19:46:40.376292
191.091867,202.05047,207.415131,202.05047,0.318191,0.336438,RGBLEDFamily_07Feb11,2024-02-14T19:46:43.494757
203.870277,215.8282,221.892489,215.8282,0.317757,0.336395,RGBLEDFamily_07Feb11,2024-02-14T19:46:46.602156
214.590383,227.11729,233.675088,227.11729,0.317732,0.336279,RGBLEDFamily_07Feb11,2024-02-14T19:46:49.710127
223.742159,236.690385,243.439579,236.690385,0.317873,0.336269,RGBLEDFamily_07Feb11,2024-02-14T19:46:52.823341
233.41913,247.036999,254.047091,247.036999,0.317792,0.336332,RGBLEDFamily_07Feb11,2024-02-14T19:46:55.938320
242.377971,256.415181,263.30968,256.415181,0.318038,0.336457,RGBLEDFamily_07Feb11,2024-02-14T19:46:59.066636
253.098077,267.704271,275.092279,267.704271,0.318005,0.336356,RGBLEDFamily_07Feb11,2024-02-14T19:47:02.173391
267.598126,283.279848,291.254667,283.279848,0.317762,0.336384,RGBLEDFamily_07Feb11,2024-02-14T19:47:05.292214
