X,Y,Z,Y,x,y,ccss_fname,Date
0.0,0.0,0.0,0.0,0.333333,0.333333,RGBLEDFamily_07Feb11,2024-02-14T00:04:31.765780
0.006404,0.003621,0.005012,0.003621,0.425883,0.240805,RGBLEDFamily_07Feb11,2024-02-14T00:04:56.274556
0.011404,0.010363,0.013234,0.010363,0.32581,0.296074,RGBLEDFamily_07Feb11,2024-02-14T00:05:07.118815
0.027325,0.027999,0.032134,0.027999,0.312441,0.320137,RGBLEDFamily_07Feb11,2024-02-14T00:05:17.442686
0.056692,0.059784,0.06086,0.059784,0.319687,0.337122,RGBLEDFamily_07Feb11,2024-02-14T00:05:27.007613
0.092598,0.099006,0.095818,0.099006,0.322168,0.344463,RGBLEDFamily_07Feb11,2024-02-14T00:05:36.385783
0.160523,0.171619,0.169842,0.171619,0.319777,0.341882,RGBLEDFamily_07Feb11,2024-02-14T00:05:45.975886
0.247707,0.264058,0.260612,0.264058,0.320707,0.341877,RGBLEDFamily_07Feb11,2024-02-14T00:05:55.358906
0.375682,0.396611,0.394155,0.396611,0.322073,0.340016,RGBLEDFamily_07Feb11,2024-02-14T00:06:04.698403
0.54009,0.570975,0.576684,0.570975,0.320006,0.338306,RGBLEDFamily_07Feb11,2024-02-14T00:06:13.949984
0.760534,0.803691,0.820655,0.803691,0.318898,0.336994,RGBLEDFamily_07Feb11,2024-02-14T00:06:23.195166
1.030719,1.094097,1.118938,1.094097,0.317755,0.337293,RGBLEDFamily_07Feb11,2024-02-14T00:06:32.417643
1.34914,1.430904,1.448515,1.430904,0.319054,0.33839,RGBLEDFamily_07Feb11,2024-02-14T00:06:41.572026
1.783649,1.883264,1.931595,1.883264,0.318594,0.336387,RGBLEDFamily_07Feb11,2024-02-14T00:06:50.790585
2.334503,2.471829,2.489898,2.471829,0.31996,0.338782,RGBLEDFamily_07Feb11,2024-02-14T00:06:59.952767
3.03145,3.210241,3.201505,3.210241,0.32102,0.339953,RGBLEDFamily_07Feb11,2024-02-14T00:07:08.863839
3.848119,4.082461,4.052143,4.082461,0.321139,0.340696,RGBLEDFamily_07Feb11,2024-02-14T00:07:16.450127
4.865538,5.131396,5.177533,5.131396,0.32064,0.33816,RGBLEDFamily_07Feb11,2024-02-14T00:07:23.186624
6.084078,6.41008,6.507383,6.41008,0.320189,0.337345,RGBLEDFamily_07Feb11,2024-02-14T00:07:29.127926
7.581018,8.002091,8.081284,8.002091,0.320356,0.338149,RGBLEDFamily_07Feb11,2024-02-14T00:07:34.567985
9.328545,9.843526,9.955414,9.843526,0.320266,0.337946,RGBLEDFamily_07Feb11,2024-02-14T00:07:39.522696
11.304995,11.947705,12.040048,11.947705,0.320321,0.338531,RGBLEDFamily_07Feb11,2024-02-14T00:07:44.149546
14.168862,14.988575,15.086342,14.988575,0.320245,0.338772,RGBLEDFamily_07Feb11,2024-02-14T00:07:48.484457
17.198605,18.161676,18.34975,18.161676,0.320212,0.338143,RGBLEDFamily_07Feb11,2024-02-14T00:07:52.500460
20.886175,22.099565,22.245462,22.099565,0.320187,0.338788,RGBLEDFamily_07Feb11,2024-02-14T00:07:56.516834
25.336519,26.801006,27.192781,26.801006,0.31938,0.337841,RGBLEDFamily_07Feb11,2024-02-14T00:08:00.308552
30.687702,32.429051,32.936395,32.429051,0.319487,0.337616,RGBLEDFamily_07Feb11,2024-02-14T00:08:03.979925
37.016172,39.052587,39.888893,39.052587,0.319221,0.336783,RGBLEDFamily_07Feb11,2024-02-14T00:08:07.627761
44.496974,46.916638,48.013236,46.916638,0.319142,0.336496,RGBLEDFamily_07Feb11,2024-02-14T00:08:11.183373
50.711532,53.643658,54.732192,53.643658,0.318765,0.337196,RGBLEDFamily_07Feb11,2024-02-14T00:08:14.632748
57.706396,61.017958,62.369861,61.017958,0.318654,0.33694,RGBLEDFamily_07Feb11,2024-02-14T00:08:18.053911
65.13071,68.771249,70.334627,68.771249,0.318898,0.336723,RGBLEDFamily_07Feb11,2024-02-14T00:08:21.508674
73.329961,77.538104,79.256024,77.538104,0.318654,0.33694,RGBLEDFamily_07Feb11,2024-02-14T00:08:24.915726
82.217206,87.147734,89.134949,87.147734,0.318055,0.337129,RGBLEDFamily_07Feb11,2024-02-14T00:08:28.247760
93.359569,98.740546,100.850965,98.740546,0.318687,0.337055,RGBLEDFamily_07Feb11,2024-02-14T00:08:31.363386
104.565244,110.690095,112.641606,110.690095,0.318897,0.337576,RGBLEDFamily_07Feb11,2024-02-14T00:08:34.478167
117.637845,124.553178,127.451366,124.553178,0.318248,0.336956,RGBLEDFamily_07Feb11,2024-02-14T00:08:37.593002
131.179182,138.886186,142.599113,138.886186,0.317883,0.33656,RGBLEDFamily_07Feb11,2024-02-14T00:08:40.711563
143.722182,151.863563,155.897242,151.863563,0.318334,0.336366,RGBLEDFamily_07Feb11,2024-02-14T00:08:43.838968
156.479354,165.338573,170.035936,165.338573,0.318142,0.336154,RGBLEDFamily_07Feb11,2024-02-14T00:08:46.960550
167.251513,176.819073,181.654959,176.819073,0.318135,0.336333,RGBLEDFamily_07Feb11,2024-02-14T00:08:50.093538
175.671177,185.725579,190.24682,185.725579,0.318451,0.336677,RGBLEDFamily_07Feb11,2024-02-14T00:08:53.208478
183.157772,193.804423,198.831313,193.804423,0.318096,0.336587,RGBLEDFamily_07Feb11,2024-02-14T00:08:56.330262
190.710403,201.772832,207.079936,201.772832,0.318082,0.336533,RGBLEDFamily_07Feb11,2024-02-14T00:08:59.444682
198.018047,209.354918,214.990233,209.354918,0.318171,0.336387,RGBLEDFamily_07Feb11,2024-02-14T00:09:02.565642
206.823579,218.651249,224.585899,218.651249,0.31816,0.336355,RGBLEDFamily_07Feb11,2024-02-14T00:09:05.684834
218.29263,230.797461,237.211181,230.797461,0.318071,0.336292,RGBLEDFamily_07Feb11,2024-02-14T00:09:08.795569
233.134516,246.537616,252.873787,246.537616,0.318252,0.336549,RGBLEDFamily_07Feb11,2024-02-14T00:09:11.930821
241.471312,255.364022,262.131464,255.364022,0.318158,0.336463,RGBLEDFamily_07Feb11,2024-02-14T00:09:15.050606
241.629026,255.558059,262.466996,255.558059,0.318078,0.336414,RGBLEDFamily_07Feb11,2024-02-14T00:09:18.185371
241.874014,255.944381,262.805322,255.944381,0.317994,0.336493,RGBLEDFamily_07Feb11,2024-02-14T00:09:21.313139
241.527771,255.667618,262.636497,255.667618,0.31787,0.336479,RGBLEDFamily_07Feb11,2024-02-14T00:09:24.436518
241.909234,255.945257,262.971692,255.945257,0.317956,0.336404,RGBLEDFamily_07Feb11,2024-02-14T00:09:27.551180
242.031728,256.138418,263.140855,256.138418,0.317914,0.336444,RGBLEDFamily_07Feb11,2024-02-14T00:09:30.685139
242.189442,256.332455,263.476387,256.332455,0.317835,0.336395,RGBLEDFamily_07Feb11,2024-02-14T00:09:33.808109
242.066948,256.139293,263.307224,256.139293,0.317876,0.336356,RGBLEDFamily_07Feb11,2024-02-14T00:09:36.932741
242.102169,256.140169,263.473594,256.140169,0.317838,0.336267,RGBLEDFamily_07Feb11,2024-02-14T00:09:40.053641
242.102169,256.140169,263.473594,256.140169,0.317838,0.336267,RGBLEDFamily_07Feb11,2024-02-14T00:09:43.184075
242.259883,256.334206,263.809126,256.334206,0.317758,0.336219,RGBLEDFamily_07Feb11,2024-02-14T00:09:46.314643
241.878419,256.056567,263.473931,256.056567,0.317672,0.336293,RGBLEDFamily_07Feb11,2024-02-14T00:09:49.437441
242.000913,256.249728,263.643094,256.249728,0.317631,0.336333,RGBLEDFamily_07Feb11,2024-02-14T00:09:52.558481
241.878419,256.056567,263.473931,256.056567,0.317672,0.336293,RGBLEDFamily_07Feb11,2024-02-14T00:09:55.682117
242.102169,256.140169,263.473594,256.140169,0.317838,0.336267,RGBLEDFamily_07Feb11,2024-02-14T00:09:58.805654
242.382376,256.527367,263.978289,256.527367,0.317717,0.336258,RGBLEDFamily_07Feb11,2024-02-14T00:10:01.925826
