X,Y,Z,Y,x,y,ccss_fname,Date
0.0,0.0,0.0,0.0,0.333333,0.333333,RGBLEDFamily_07Feb11,2024-02-14T07:12:55.765691
0.0,0.0,0.0,0.0,0.333333,0.333333,RGBLEDFamily_07Feb11,2024-02-14T07:13:04.892733
0.005468,0.006715,0.00671,0.006715,0.289413,0.355429,RGBLEDFamily_07Feb11,2024-02-14T07:13:17.296699
0.013464,0.015548,0.016574,0.015548,0.295357,0.341061,RGBLEDFamily_07Feb11,2024-02-14T07:13:28.322871
0.03042,0.031413,0.038287,0.031413,0.303837,0.313749,RGBLEDFamily_07Feb11,2024-02-14T07:13:38.346650
0.058285,0.059847,0.067587,0.059847,0.313833,0.322244,RGBLEDFamily_07Feb11,2024-02-14T07:13:47.832159
0.103485,0.109119,0.114658,0.109119,0.316215,0.33343,RGBLEDFamily_07Feb11,2024-02-14T07:13:57.312361
0.169246,0.178847,0.181071,0.178847,0.319836,0.337981,RGBLEDFamily_07Feb11,2024-02-14T07:14:06.786694
0.271782,0.289439,0.268878,0.289439,0.327409,0.34868,RGBLEDFamily_07Feb11,2024-02-14T07:14:16.163895
0.415248,0.445641,0.408054,0.445641,0.327239,0.351191,RGBLEDFamily_07Feb11,2024-02-14T07:14:25.522682
0.608011,0.650308,0.599333,0.650308,0.327301,0.35007,RGBLEDFamily_07Feb11,2024-02-14T07:14:34.781028
0.861223,0.922449,0.835695,0.922449,0.328791,0.352165,RGBLEDFamily_07Feb11,2024-02-14T07:14:44.027289
1.1584,1.238255,1.129347,1.238255,0.328531,0.351178,RGBLEDFamily_07Feb11,2024-02-14T07:14:53.249712
1.56965,1.673168,1.520611,1.673168,0.329521,0.351253,RGBLEDFamily_07Feb11,2024-02-14T07:15:02.403924
2.091625,2.2295,2.025234,2.2295,0.329579,0.351304,RGBLEDFamily_07Feb11,2024-02-14T07:15:11.620262
2.735264,2.918466,2.621762,2.918466,0.330526,0.352664,RGBLEDFamily_07Feb11,2024-02-14T07:15:20.759046
3.495644,3.73632,3.352878,3.73632,0.33025,0.352988,RGBLEDFamily_07Feb11,2024-02-14T07:15:28.812591
4.49034,4.795343,4.296154,4.795343,0.330614,0.35307,RGBLEDFamily_07Feb11,2024-02-14T07:15:35.681453
5.652467,6.020456,5.431643,6.020456,0.330465,0.351979,RGBLEDFamily_07Feb11,2024-02-14T07:15:41.887284
