X,Y,Z,Y,x,y,ccss_fname,Date
0.0,0.0,0.0,0.0,0.333333,0.333333,RGBLEDFamily_07Feb11,2024-02-15T23:12:32.988219
0.0,0.0,0.0,0.0,0.333333,0.333333,RGBLEDFamily_07Feb11,2024-02-15T23:12:42.217390
0.012623,0.012843,0.017557,0.012843,0.293402,0.298511,RGBLEDFamily_07Feb11,2024-02-15T23:12:53.905981
0.032083,0.034254,0.046405,0.034254,0.284573,0.303825,RGBLEDFamily_07Feb11,2024-02-15T23:13:03.841693
0.068221,0.07092,0.08804,0.07092,0.300292,0.312174,RGBLEDFamily_07Feb11,2024-02-15T23:13:13.444388
0.115915,0.120803,0.140925,0.120803,0.306944,0.319887,RGBLEDFamily_07Feb11,2024-02-15T23:13:22.809503
0.178638,0.187891,0.211096,0.187891,0.309263,0.325282,RGBLEDFamily_07Feb11,2024-02-15T23:13:32.452565
0.269821,0.285256,0.307566,0.285256,0.312785,0.330676,RGBLEDFamily_07Feb11,2024-02-15T23:13:41.898359
0.39055,0.415933,0.431288,0.415933,0.315527,0.336034,RGBLEDFamily_07Feb11,2024-02-15T23:13:51.223772
0.536498,0.570343,0.597834,0.570343,0.314721,0.334576,RGBLEDFamily_07Feb11,2024-02-15T23:14:00.418105
0.751439,0.799251,0.835768,0.799251,0.314876,0.334911,RGBLEDFamily_07Feb11,2024-02-15T23:14:09.597560
1.017399,1.085994,1.118964,1.085994,0.315731,0.337018,RGBLEDFamily_07Feb11,2024-02-15T23:14:18.759129
1.362261,1.447433,1.496382,1.447433,0.316358,0.336137,RGBLEDFamily_07Feb11,2024-02-15T23:14:27.923707
1.820617,1.924876,1.98009,1.924876,0.317979,0.336189,RGBLEDFamily_07Feb11,2024-02-15T23:14:37.081384
2.366985,2.502888,2.557518,2.502888,0.318683,0.336981,RGBLEDFamily_07Feb11,2024-02-15T23:14:46.235820
2.995793,3.174551,3.213173,3.174551,0.319261,0.338311,RGBLEDFamily_07Feb11,2024-02-15T23:14:55.191584
3.703659,3.928041,3.976719,3.928041,0.319049,0.338379,RGBLEDFamily_07Feb11,2024-02-15T23:15:02.923497
4.757563,5.052716,5.11337,5.052716,0.318794,0.338571,RGBLEDFamily_07Feb11,2024-02-15T23:15:09.699609
5.977074,6.32688,6.449377,6.32688,0.318721,0.337374,RGBLEDFamily_07Feb11,2024-02-15T23:15:15.678075
7.347484,7.787617,7.900433,7.787617,0.318963,0.33807,RGBLEDFamily_07Feb11,2024-02-15T23:15:21.177555
9.152746,9.719307,9.737062,9.719307,0.319924,0.339728,RGBLEDFamily_07Feb11,2024-02-15T23:15:26.145904
11.269594,11.947668,12.03366,11.947668,0.319696,0.338932,RGBLEDFamily_07Feb11,2024-02-15T23:15:30.843903
13.605916,14.433952,14.658811,14.433952,0.31865,0.338042,RGBLEDFamily_07Feb11,2024-02-15T23:15:35.267643
16.69461,17.683421,17.927403,17.683421,0.319175,0.33808,RGBLEDFamily_07Feb11,2024-02-15T23:15:39.475444
20.238146,21.435537,21.790986,21.435537,0.318888,0.337755,RGBLEDFamily_07Feb11,2024-02-15T23:15:43.507706
24.367032,25.825643,26.244998,25.825643,0.318783,0.337865,RGBLEDFamily_07Feb11,2024-02-15T23:15:47.383525
29.228051,30.984077,31.395382,30.984077,0.319057,0.338226,RGBLEDFamily_07Feb11,2024-02-15T23:15:51.149547
35.232463,37.4197,37.799032,37.4197,0.318987,0.338789,RGBLEDFamily_07Feb11,2024-02-15T23:15:54.809707
42.337686,44.923407,45.472642,44.923407,0.318967,0.338448,RGBLEDFamily_07Feb11,2024-02-15T23:15:58.244259
50.14051,53.045115,53.940046,53.045115,0.319111,0.337597,RGBLEDFamily_07Feb11,2024-02-15T23:16:01.703624
60.316771,63.732351,65.164737,63.732351,0.318776,0.336827,RGBLEDFamily_07Feb11,2024-02-15T23:16:05.176621
72.086861,76.04418,78.321427,76.04418,0.318331,0.335806,RGBLEDFamily_07Feb11,2024-02-15T23:16:08.602258
84.887852,89.642629,92.422679,89.642629,0.317988,0.335799,RGBLEDFamily_07Feb11,2024-02-15T23:16:11.731364
101.679532,107.376418,110.438587,107.376418,0.318251,0.336082,RGBLEDFamily_07Feb11,2024-02-15T23:16:14.853359
120.578719,127.297878,131.143329,127.297878,0.318133,0.335861,RGBLEDFamily_07Feb11,2024-02-15T23:16:17.970367
141.703502,149.487984,154.037461,149.487984,0.318271,0.335755,RGBLEDFamily_07Feb11,2024-02-15T23:16:21.106358
164.208086,173.311359,179.116406,173.311359,0.317841,0.335461,RGBLEDFamily_07Feb11,2024-02-15T23:16:24.224035
190.260054,201.113248,207.238262,201.113248,0.317836,0.335966,RGBLEDFamily_07Feb11,2024-02-15T23:16:27.347348
221.678683,234.72796,242.254331,234.72796,0.317291,0.335968,RGBLEDFamily_07Feb11,2024-02-15T23:16:30.474161
257.018902,271.99426,280.137547,271.99426,0.31764,0.336148,RGBLEDFamily_07Feb11,2024-02-15T23:16:33.611010
298.915499,317.004119,326.440237,317.004119,0.317199,0.336394,RGBLEDFamily_07Feb11,2024-02-15T23:16:36.737274
348.550406,369.572734,380.982493,369.572734,0.317122,0.336249,RGBLEDFamily_07Feb11,2024-02-15T23:16:39.865330
400.10144,423.753914,438.537943,423.753914,0.316939,0.335675,RGBLEDFamily_07Feb11,2024-02-15T23:16:42.985403
465.60894,492.92681,510.916445,492.92681,0.316859,0.335449,RGBLEDFamily_07Feb11,2024-02-15T23:16:46.110739
537.672819,569.843266,591.71442,569.843266,0.316421,0.335354,RGBLEDFamily_07Feb11,2024-02-15T23:16:49.245283
625.842618,663.033574,689.5074,663.033574,0.31634,0.335139,RGBLEDFamily_07Feb11,2024-02-15T23:16:52.368713
714.800198,756.935857,785.973662,756.935857,0.316604,0.335267,RGBLEDFamily_07Feb11,2024-02-15T23:16:55.492675
827.711838,876.934938,912.214544,876.934938,0.316299,0.335109,RGBLEDFamily_07Feb11,2024-02-15T23:16:58.516333
953.719638,1010.081226,1052.251987,1010.081226,0.316214,0.334902,RGBLEDFamily_07Feb11,2024-02-15T23:17:01.640461
965.520184,1023.444448,1067.396511,1023.444448,0.315905,0.334857,RGBLEDFamily_07Feb11,2024-02-15T23:17:04.759596
965.157108,1022.97715,1067.557631,1022.97715,0.315856,0.334778,RGBLEDFamily_07Feb11,2024-02-15T23:17:07.885328
965.091073,1023.087584,1067.893501,1023.087584,0.315795,0.334772,RGBLEDFamily_07Feb11,2024-02-15T23:17:11.014532
964.014273,1021.76404,1067.378305,1021.76404,0.315743,0.334658,RGBLEDFamily_07Feb11,2024-02-15T23:17:14.140273
965.358853,1023.396433,1069.39675,1023.396433,0.315667,0.334645,RGBLEDFamily_07Feb11,2024-02-15T23:17:17.256494
964.4566,1022.45746,1068.887142,1022.45746,0.315615,0.334596,RGBLEDFamily_07Feb11,2024-02-15T23:17:20.389169
965.038254,1023.534576,1070.235197,1023.534576,0.315495,0.334619,RGBLEDFamily_07Feb11,2024-02-15T23:17:23.513473
964.517464,1022.873241,1070.060785,1022.873241,0.315465,0.334551,RGBLEDFamily_07Feb11,2024-02-15T23:17:26.632582
963.33862,1021.401048,1066.710709,1021.401048,0.315699,0.334726,RGBLEDFamily_07Feb11,2024-02-15T23:17:29.754575
964.056749,1022.36948,1068.055633,1022.36948,0.31562,0.334711,RGBLEDFamily_07Feb11,2024-02-15T23:17:32.879427
962.615319,1020.958831,1066.875298,1020.958831,0.315565,0.334691,RGBLEDFamily_07Feb11,2024-02-15T23:17:35.999136
963.27699,1021.623668,1067.715188,1021.623668,0.315558,0.334672,RGBLEDFamily_07Feb11,2024-02-15T23:17:39.121085
