X,Y,Z,Y,x,y,ccss_fname,Date
0.0,0.0,0.0,0.0,0.333333,0.333333,RGBLEDFamily_07Feb11,2024-02-13T23:28:01.205641
0.0,0.0,0.0,0.0,0.333333,0.333333,RGBLEDFamily_07Feb11,2024-02-13T23:28:10.355004
0.012125,0.012636,0.016594,0.012636,0.293202,0.305545,RGBLEDFamily_07Feb11,2024-02-13T23:28:22.131824
0.025126,0.025113,0.028726,0.025113,0.318195,0.318027,RGBLEDFamily_07Feb11,2024-02-13T23:28:32.487630
0.049573,0.052524,0.056138,0.052524,0.313287,0.331936,RGBLEDFamily_07Feb11,2024-02-13T23:28:41.970415
0.096325,0.098595,0.116848,0.098595,0.308964,0.316244,RGBLEDFamily_07Feb11,2024-02-13T23:28:51.262749
0.152242,0.159544,0.171415,0.159544,0.31507,0.330182,RGBLEDFamily_07Feb11,2024-02-13T23:29:00.971926
0.229788,0.245507,0.241938,0.245507,0.320381,0.342297,RGBLEDFamily_07Feb11,2024-02-13T23:29:10.373569
0.345219,0.367516,0.359546,0.367516,0.321949,0.342742,RGBLEDFamily_07Feb11,2024-02-13T23:29:19.740108
0.495239,0.522382,0.54024,0.522382,0.317897,0.33532,RGBLEDFamily_07Feb11,2024-02-13T23:29:29.047625
0.700005,0.741934,0.768988,0.741934,0.316611,0.335576,RGBLEDFamily_07Feb11,2024-02-13T23:29:38.310817
0.948586,1.006537,1.03235,1.006537,0.317521,0.336919,RGBLEDFamily_07Feb11,2024-02-13T23:29:47.557837
1.309374,1.382166,1.425683,1.382166,0.318023,0.335704,RGBLEDFamily_07Feb11,2024-02-13T23:29:56.805622
1.739733,1.833506,1.889159,1.833506,0.318493,0.33566,RGBLEDFamily_07Feb11,2024-02-13T23:30:06.030525
2.287162,2.413799,2.484464,2.413799,0.318306,0.33593,RGBLEDFamily_07Feb11,2024-02-13T23:30:15.169968
2.880817,3.04591,3.085066,3.04591,0.319672,0.337992,RGBLEDFamily_07Feb11,2024-02-13T23:30:24.317859
3.633801,3.850773,3.883003,3.850773,0.319664,0.338751,RGBLEDFamily_07Feb11,2024-02-13T23:30:32.240545
4.639979,4.89876,4.958279,4.89876,0.320064,0.337915,RGBLEDFamily_07Feb11,2024-02-13T23:30:39.069349
5.792979,6.114155,6.184733,6.114155,0.320198,0.33795,RGBLEDFamily_07Feb11,2024-02-13T23:30:45.206815
7.231423,7.645548,7.714634,7.645548,0.320093,0.338424,RGBLEDFamily_07Feb11,2024-02-13T23:30:50.753111
8.985213,9.523538,9.495315,9.523538,0.320854,0.340077,RGBLEDFamily_07Feb11,2024-02-13T23:30:55.834712
11.116466,11.764945,11.816373,11.764945,0.32038,0.339069,RGBLEDFamily_07Feb11,2024-02-13T23:31:00.476367
13.5867,14.379255,14.572016,14.379255,0.319402,0.338033,RGBLEDFamily_07Feb11,2024-02-13T23:31:04.900482
16.560664,17.471187,17.760696,17.471187,0.31975,0.33733,RGBLEDFamily_07Feb11,2024-02-13T23:31:09.103154
20.027054,21.145711,21.381209,21.145711,0.320156,0.338039,RGBLEDFamily_07Feb11,2024-02-13T23:31:13.077848
24.001991,25.404801,25.69031,25.404801,0.319613,0.338293,RGBLEDFamily_07Feb11,2024-02-13T23:31:16.959262
29.134568,30.864075,31.167956,30.864075,0.319575,0.338546,RGBLEDFamily_07Feb11,2024-02-13T23:31:20.719669
35.019649,37.138682,37.412898,37.138682,0.319606,0.338946,RGBLEDFamily_07Feb11,2024-02-13T23:31:24.378425
41.913705,44.294418,44.762183,44.294418,0.320024,0.338202,RGBLEDFamily_07Feb11,2024-02-13T23:31:27.893806
50.082364,52.935637,53.580179,52.935637,0.319814,0.338035,RGBLEDFamily_07Feb11,2024-02-13T23:31:31.360249
60.133253,63.474808,64.819864,63.474808,0.319131,0.336865,RGBLEDFamily_07Feb11,2024-02-13T23:31:34.836396
71.653547,75.382912,77.468602,75.382912,0.319162,0.335774,RGBLEDFamily_07Feb11,2024-02-13T23:31:38.255326
85.422624,90.002119,92.424797,90.002119,0.31892,0.336017,RGBLEDFamily_07Feb11,2024-02-13T23:31:41.370739
101.623073,107.072822,109.933553,107.072822,0.318938,0.336042,RGBLEDFamily_07Feb11,2024-02-13T23:31:44.393036
120.294106,126.798494,129.970025,126.798494,0.31903,0.33628,RGBLEDFamily_07Feb11,2024-02-13T23:31:47.512151
140.533468,148.240162,152.024603,148.240162,0.318816,0.336299,RGBLEDFamily_07Feb11,2024-02-13T23:31:50.633705
157.781458,166.365526,171.377053,166.365526,0.318413,0.335737,RGBLEDFamily_07Feb11,2024-02-13T23:31:53.742816
168.014439,177.374351,182.325348,177.374351,0.318382,0.336118,RGBLEDFamily_07Feb11,2024-02-13T23:31:56.864331
177.830737,188.104661,192.772079,188.104661,0.31829,0.336678,RGBLEDFamily_07Feb11,2024-02-13T23:31:59.976787
188.393129,199.199714,204.219145,199.199714,0.318333,0.336593,RGBLEDFamily_07Feb11,2024-02-13T23:32:03.089222
196.939692,208.411567,213.648778,208.411567,0.318158,0.336691,RGBLEDFamily_07Feb11,2024-02-13T23:32:06.200093
204.965465,216.962086,222.903999,216.962086,0.317859,0.336463,RGBLEDFamily_07Feb11,2024-02-13T23:32:09.312233
213.320648,225.598834,232.65799,225.598834,0.317641,0.335924,RGBLEDFamily_07Feb11,2024-02-13T23:32:12.433932
220.474983,233.099069,240.901364,233.099069,0.31747,0.335648,RGBLEDFamily_07Feb11,2024-02-13T23:32:15.547561
236.95564,250.55697,258.914815,250.55697,0.317453,0.335675,RGBLEDFamily_07Feb11,2024-02-13T23:32:18.669954
264.019928,279.412644,288.713997,279.412644,0.317276,0.335773,RGBLEDFamily_07Feb11,2024-02-13T23:32:21.790526
293.792529,310.705045,320.868261,310.705045,0.317488,0.335765,RGBLEDFamily_07Feb11,2024-02-13T23:32:24.911888
326.600535,345.538996,357.22824,345.538996,0.317283,0.335681,RGBLEDFamily_07Feb11,2024-02-13T23:32:28.036546
363.25452,384.548999,397.632141,384.548999,0.317132,0.335723,RGBLEDFamily_07Feb11,2024-02-13T23:32:31.147688
367.135719,388.725927,401.842431,388.725927,0.317124,0.335773,RGBLEDFamily_07Feb11,2024-02-13T23:32:34.267551
366.737423,388.257753,401.837181,388.257753,0.317019,0.335621,RGBLEDFamily_07Feb11,2024-02-13T23:32:37.383871
367.140125,388.838112,402.51104,388.838112,0.316913,0.335642,RGBLEDFamily_07Feb11,2024-02-13T23:32:40.502908
367.017631,388.644951,402.341876,388.644951,0.31694,0.335616,RGBLEDFamily_07Feb11,2024-02-13T23:32:43.631761
367.455553,389.226186,403.182105,389.226186,0.316809,0.335579,RGBLEDFamily_07Feb11,2024-02-13T23:32:46.754627
366.899543,388.563976,402.841322,388.563976,0.316756,0.335459,RGBLEDFamily_07Feb11,2024-02-13T23:32:49.872918
367.316227,388.84249,403.342887,388.84249,0.316788,0.335353,RGBLEDFamily_07Feb11,2024-02-13T23:32:52.994121
366.58852,388.288088,402.838866,388.288088,0.316648,0.335392,RGBLEDFamily_07Feb11,2024-02-13T23:32:56.111740
366.969984,388.565727,403.174061,388.565727,0.316706,0.335343,RGBLEDFamily_07Feb11,2024-02-13T23:32:59.223714
366.378753,387.902641,402.666909,387.902641,0.316677,0.335281,RGBLEDFamily_07Feb11,2024-02-13T23:33:02.346403
366.760216,388.18028,403.002104,388.18028,0.316734,0.335233,RGBLEDFamily_07Feb11,2024-02-13T23:33:05.461972
366.903949,388.676161,403.509931,388.676161,0.316545,0.335329,RGBLEDFamily_07Feb11,2024-02-13T23:33:08.579850
366.816675,388.483876,403.507137,388.483876,0.316547,0.335244,RGBLEDFamily_07Feb11,2024-02-13T23:33:11.688927
367.355852,388.955551,404.177865,388.955551,0.316553,0.335165,RGBLEDFamily_07Feb11,2024-02-13T23:33:14.811435
366.903949,388.676161,403.509931,388.676161,0.316545,0.335329,RGBLEDFamily_07Feb11,2024-02-13T23:33:17.932650
