X,Y,Z,Y,x,y,ccss_fname,Date
0.0,0.0,0.0,0.0,0.333333,0.333333,RGBLEDFamily_07Feb11,2024-02-14T18:03:13.844601
0.0,0.0,0.0,0.0,0.333333,0.333333,RGBLEDFamily_07Feb11,2024-02-14T18:03:22.965671
0.003675,0.005795,0.005075,0.005795,0.252659,0.39842,RGBLEDFamily_07Feb11,2024-02-14T18:03:47.531931
0.008752,0.011459,0.01148,0.011459,0.276169,0.361587,RGBLEDFamily_07Feb11,2024-02-14T18:03:59.489150
0.018235,0.019566,0.024693,0.019566,0.291793,0.313088,RGBLEDFamily_07Feb11,2024-02-14T18:04:10.289754
0.040439,0.040278,0.04936,0.040278,0.310882,0.309648,RGBLEDFamily_07Feb11,2024-02-14T18:04:19.863202
0.079316,0.082089,0.09149,0.082089,0.313632,0.324597,RGBLEDFamily_07Feb11,2024-02-14T18:04:29.252626
0.138154,0.142889,0.154165,0.142889,0.317444,0.328324,RGBLEDFamily_07Feb11,2024-02-14T18:04:38.498195
0.232855,0.242674,0.248445,0.242674,0.321635,0.335197,RGBLEDFamily_07Feb11,2024-02-14T18:04:47.987613
0.368914,0.389563,0.389492,0.389563,0.321362,0.33935,RGBLEDFamily_07Feb11,2024-02-14T18:04:57.255872
0.55351,0.583317,0.587935,0.583317,0.32092,0.338201,RGBLEDFamily_07Feb11,2024-02-14T18:05:06.517191
0.800664,0.846907,0.834021,0.846907,0.322641,0.341276,RGBLEDFamily_07Feb11,2024-02-14T18:05:15.757544
1.086864,1.152981,1.144873,1.152981,0.321109,0.340643,RGBLEDFamily_07Feb11,2024-02-14T18:05:24.922915
1.491343,1.578054,1.56888,1.578054,0.32153,0.340224,RGBLEDFamily_07Feb11,2024-02-14T18:05:34.073119
1.999602,2.11878,2.095072,2.11878,0.321818,0.340999,RGBLEDFamily_07Feb11,2024-02-14T18:05:43.259466
2.642248,2.794423,2.759971,2.794423,0.322357,0.340923,RGBLEDFamily_07Feb11,2024-02-14T18:05:52.392911
3.409833,3.614663,3.56643,3.614663,0.321958,0.341298,RGBLEDFamily_07Feb11,2024-02-14T18:06:00.588552
4.404163,4.659731,4.59517,4.659731,0.322435,0.341146,RGBLEDFamily_07Feb11,2024-02-14T18:06:07.676150
5.571609,5.884963,5.835789,5.884963,0.322201,0.340322,RGBLEDFamily_07Feb11,2024-02-14T18:06:13.867563
6.990793,7.415773,7.302472,7.415773,0.322022,0.341598,RGBLEDFamily_07Feb11,2024-02-14T18:06:19.405478
8.693295,9.155919,9.121265,9.155919,0.322326,0.339479,RGBLEDFamily_07Feb11,2024-02-14T18:06:24.489687
10.764902,11.354014,11.341103,11.354014,0.321724,0.339331,RGBLEDFamily_07Feb11,2024-02-14T18:06:29.253098
