X,Y,Z,Y,x,y,ccss_fname,Date
245.58069,260.633347,272.192527,260.633347,0.315492,0.334829,RGBLEDFamily_07Feb11,2024-02-13T21:45:16.477543
245.825678,261.019669,272.530853,261.019669,0.315413,0.334908,RGBLEDFamily_07Feb11,2024-02-13T21:45:22.847773
245.917357,261.32414,273.202256,261.32414,0.315099,0.33484,RGBLEDFamily_07Feb11,2024-02-13T21:45:29.224868
246.145512,261.519928,273.870527,261.519928,0.314951,0.334623,RGBLEDFamily_07Feb11,2024-02-13T21:45:35.603314
246.512993,262.099412,274.378016,262.099412,0.314835,0.334742,RGBLEDFamily_07Feb11,2024-02-13T21:45:41.989880
246.303226,261.713965,274.206059,261.713965,0.314876,0.334577,RGBLEDFamily_07Feb11,2024-02-13T21:45:48.373011
246.359684,262.017561,274.711093,262.017561,0.3146,0.334595,RGBLEDFamily_07Feb11,2024-02-13T21:45:54.755593
246.517398,262.211597,275.046625,262.211597,0.314525,0.334549,RGBLEDFamily_07Feb11,2024-02-13T21:46:01.140480
246.986135,262.681522,275.384614,262.681522,0.314611,0.334604,RGBLEDFamily_07Feb11,2024-02-13T21:46:07.510804
246.863641,262.488361,275.215451,262.488361,0.314649,0.334564,RGBLEDFamily_07Feb11,2024-02-13T21:46:13.894525
246.797606,262.598795,275.551321,262.598795,0.314413,0.334543,RGBLEDFamily_07Feb11,2024-02-13T21:46:20.265293
247.301563,263.069595,276.055679,263.069595,0.314462,0.334512,RGBLEDFamily_07Feb11,2024-02-13T21:46:26.649517
