X,Y,Z,Y,x,y,ccss_fname,Date
964.504175,1019.846857,1052.507452,1019.846857,0.317599,0.335823,RGBLEDFamily_07Feb11,2024-02-12T23:15:53.177714
961.993225,1018.613837,1056.505382,1018.613837,0.316746,0.335389,RGBLEDFamily_07Feb11,2024-02-12T23:15:59.492344
964.424207,1022.052354,1063.38062,1022.052354,0.316219,0.335115,RGBLEDFamily_07Feb11,2024-02-12T23:16:05.816543
963.977498,1022.143358,1066.385676,1022.143358,0.315799,0.334854,RGBLEDFamily_07Feb11,2024-02-12T23:16:12.127962
963.868221,1022.286753,1068.22234,1022.286753,0.315569,0.334696,RGBLEDFamily_07Feb11,2024-02-12T23:16:18.445761
962.765518,1021.801069,1064.889702,1021.801069,0.315717,0.335076,RGBLEDFamily_07Feb11,2024-02-12T23:16:24.760761
962.637854,1022.134124,1066.230051,1022.134124,0.315515,0.335016,RGBLEDFamily_07Feb11,2024-02-12T23:16:31.074723
960.675633,1020.062141,1064.875303,1020.062141,0.315429,0.334928,RGBLEDFamily_07Feb11,2024-02-12T23:16:37.391369
960.421069,1020.089849,1065.37788,1020.089849,0.315317,0.334907,RGBLEDFamily_07Feb11,2024-02-12T23:16:43.703319
959.589256,1019.152626,1065.201011,1019.152626,0.315245,0.334813,RGBLEDFamily_07Feb11,2024-02-12T23:16:50.015676
955.560709,1014.62584,1062.818666,1014.62584,0.315054,0.334528,RGBLEDFamily_07Feb11,2024-02-12T23:16:56.336619
953.370334,1012.358068,1060.795646,1012.358068,0.315005,0.334495,RGBLEDFamily_07Feb11,2024-02-12T23:17:02.652026
