X,Y,Z,Y,x,y,ccss_fname,Date
796.759578,843.015526,868.523322,843.015526,0.317649,0.336091,RGBLEDFamily_07Feb11,2024-02-12T23:11:28.981498
800.30854,847.510455,877.574994,847.510455,0.316904,0.335595,RGBLEDFamily_07Feb11,2024-02-12T23:11:35.291249
797.386843,844.834304,877.383726,844.834304,0.316473,0.335304,RGBLEDFamily_07Feb11,2024-02-12T23:11:41.608206
797.43528,845.171737,879.555922,845.171737,0.316171,0.335098,RGBLEDFamily_07Feb11,2024-02-12T23:11:47.921597
797.755113,845.671996,880.895596,845.671996,0.316027,0.335009,RGBLEDFamily_07Feb11,2024-02-12T23:11:54.228730
798.701398,846.836216,882.908791,846.836216,0.315886,0.334924,RGBLEDFamily_07Feb11,2024-02-12T23:12:00.543850
797.956859,846.091279,882.734715,846.091279,0.3158,0.334849,RGBLEDFamily_07Feb11,2024-02-12T23:12:06.857656
796.204406,844.404743,881.551924,844.404743,0.315683,0.334794,RGBLEDFamily_07Feb11,2024-02-12T23:12:13.176317
794.349908,842.569557,877.534252,842.569557,0.315914,0.335091,RGBLEDFamily_07Feb11,2024-02-12T23:12:19.485072
793.534928,841.822869,877.027438,841.822869,0.315849,0.335069,RGBLEDFamily_07Feb11,2024-02-12T23:12:25.804842
794.476807,842.874904,878.372025,842.874904,0.315804,0.335043,RGBLEDFamily_07Feb11,2024-02-12T23:12:32.113151
792.776407,841.379777,877.025657,841.379777,0.315699,0.335053,RGBLEDFamily_07Feb11,2024-02-12T23:12:38.434263
