Product,Release Year,Test Methodology,HDR Brightness Peak 10% Window,HDR Color Gamut Rec.2020 Coverage
Lepow Z1 Gamut,2020,v1.2,208 cd/m²,68.4%
Acer Nitro XV340CK Pbmiipphzx,2020,v1.1,234 cd/m²,49.7%
Lepow Z1,2020,v1.1,237 cd/m²,35.1%
ASUS TUF Gaming VG27WQ1B,2020,v1.1,245 cd/m²,65.5%
Gigabyte GS27QC,2023,v1.2,250 cd/m²,54.8%
LG 32UL500-W,2020,v1.2,272 cd/m²,71.1%
LG 35WN65C-B,2020,v1.2,285 cd/m²,60.7%
Gigabyte G27QC,2020,v1.1,286 cd/m²,63.1%
Samsung Odyssey G5/G51C S27CG51,2023,v1.2,296 cd/m²,52.9%
Samsung Odyssey G5 C27G55T,2020,v1.2,297 cd/m²,51.9%
Samsung Smart Monitor M7 S43BM70,2022,v1.2,301 cd/m²,66.4%
Acer Nitro RG241Y Pbiipx,2020,v1.1,302 cd/m²,54.4%
Samsung Odyssey G5/G55A S27AG55,2022,v2.0,306 cd/m²,55.5%
LG 27GR75Q-B,2023,v2.0,314 cd/m²,61.1%
MSI Optix G321CU,2023,v2.0,315 cd/m²,63.2%
LG 40WP95C-W,2022,v2.0,321 cd/m²,70.4%
LG 27GN850-B/27GN880-B,2020,v1.2,326 cd/m²,70.0%
Samsung Odyssey G5 C34G55T,2021,v1.2,331 cd/m²,55.5%
Samsung Smart Monitor M8 S32BM80,2022,v1.2,340 cd/m²,66.0%
Samsung Odyssey G5/G55C S27CG55,2024,v2.0,342 cd/m²,54.8%
MSI Optix MAG273R,2020,v1.1,345 cd/m²,66.7%
LG 32QN55T-B,2021,v1.2,360 cd/m²,61.8%
LG 32GN600-B,2021,v1.2,360 cd/m²,56.4%
LG 27GN650-B,2021,v1.1,362 cd/m²,64.1%
Dell S3221QS,2020,v1.2,372 cd/m²,65.0%
Samsung Smart Monitor M7/M70C S32CM70,2023,v1.2,372 cd/m²,62.3%
Gigabyte M34WQ,2021,v1.2,372 cd/m²,65.3%
LG 32GN650-B/32GN63T-B,2021,v1.2,373 cd/m²,56.1%
LG 27GN800-B,2020,v1.2,373 cd/m²,67.6%
HP OMEN 27c,2021,v1.1,376 cd/m²,65.7%
ASUS ROG Strix XG27AQ,2021,v1.2,378 cd/m²,69.8%
