X,Y,Z,Y,x,y,ccss_fname,Date
0.0,0.0,0.0,0.0,0.333333,0.333333,-,2024-09-17T22:16:10.705175
0.009535,0.009247,0.011518,0.009247,0.314699,0.305181,-,2024-09-17T22:16:26.102418
0.042714,0.045465,0.048481,0.045465,0.312555,0.332688,-,2024-09-17T22:16:35.655011
0.119925,0.128559,0.136656,0.128559,0.31138,0.333798,-,2024-09-17T22:16:45.051140
0.259415,0.277177,0.300176,0.277177,0.31002,0.331247,-,2024-09-17T22:16:53.284786
0.496876,0.531135,0.578708,0.531135,0.309249,0.330571,-,2024-09-17T22:17:01.583057
0.894554,0.956882,1.04468,0.956882,0.30888,0.330402,-,2024-09-17T22:17:09.756498
1.465477,1.563939,1.714599,1.563939,0.308911,0.329666,-,2024-09-17T22:17:17.843316
2.319232,2.474697,2.708026,2.474697,0.30915,0.329874,-,2024-09-17T22:17:23.816642
3.555503,3.792376,4.143656,3.792376,0.309402,0.330015,-,2024-09-17T22:17:28.988291
5.261699,5.60832,6.133958,5.60832,0.309439,0.329824,-,2024-09-17T22:17:40.661034
7.69115,8.197203,8.968689,8.197203,0.309415,0.329774,-,2024-09-17T22:17:43.939291
10.98456,11.715796,12.83372,11.715796,0.309127,0.329706,-,2024-09-17T22:17:46.722088
15.617619,16.642415,18.2161,16.642415,0.309406,0.329709,-,2024-09-17T22:17:49.159566
21.8208,23.25909,25.405435,23.25909,0.309579,0.329985,-,2024-09-17T22:17:51.583552
30.223068,32.23548,35.205928,32.23548,0.309458,0.330064,-,2024-09-17T22:17:53.737742
41.534998,44.250285,48.27653,44.250285,0.30982,0.330074,-,2024-09-17T22:17:55.725797
56.068056,59.882495,65.294131,59.882495,0.30935,0.330396,-,2024-09-17T22:17:57.527562
76.545472,81.724102,89.006862,81.724102,0.309554,0.330497,-,2024-09-17T22:17:59.381260
103.712211,110.74172,119.903521,110.74172,0.310184,0.331208,-,2024-09-17T22:18:01.124626
139.938807,149.644396,161.825306,149.644396,0.310005,0.331505,-,2024-09-17T22:18:02.862954
186.936546,199.944335,216.268819,199.944335,0.309934,0.3315,-,2024-09-17T22:18:04.586871
248.987983,266.139205,288.075421,266.139205,0.309994,0.331348,-,2024-09-17T22:18:06.348206
329.770559,352.662555,381.932614,352.662555,0.309828,0.331336,-,2024-09-17T22:18:08.126552
439.039396,470.916513,507.225733,470.916513,0.309798,0.332291,-,2024-09-17T22:18:09.943670
443.177128,474.533682,512.380056,474.533682,0.309894,0.331821,-,2024-09-17T22:18:11.729222
440.306133,473.117535,512.077407,473.117535,0.308878,0.331896,-,2024-09-17T22:18:13.543959
440.306133,473.117535,512.077407,473.117535,0.308878,0.331896,-,2024-09-17T22:18:16.537860
443.735766,474.580075,516.692804,474.580075,0.309222,0.330716,-,2024-09-17T22:18:18.428412
443.5518,474.495404,516.861217,474.495404,0.309115,0.33068,-,2024-09-17T22:18:20.304783
443.5518,474.495404,516.861217,474.495404,0.309115,0.33068,-,2024-09-17T22:18:22.059530
443.5518,474.495404,516.861217,474.495404,0.309115,0.33068,-,2024-09-17T22:18:23.882662
443.516808,474.494481,516.69568,474.494481,0.309134,0.330726,-,2024-09-17T22:18:25.760937
