X,Y,Z,Y,x,y,ccss_fname,Date
0.0,0.0,0.0,0.0,0.333333,0.333333,-,2024-09-17T22:02:35.742078
0.018458,0.018692,0.019261,0.018692,0.327209,0.331358,-,2024-09-17T22:02:47.008333
0.094728,0.099768,0.104831,0.099768,0.31647,0.333307,-,2024-09-17T22:02:56.749241
0.249429,0.264919,0.283278,0.264919,0.312714,0.332135,-,2024-09-17T22:03:06.704137
0.55592,0.587591,0.640885,0.587591,0.311545,0.329294,-,2024-09-17T22:03:16.585365
1.067075,1.128452,1.236828,1.128452,0.310887,0.328769,-,2024-09-17T22:03:26.555275
1.823414,1.932559,2.11249,1.932559,0.310714,0.329313,-,2024-09-17T22:03:35.385240
3.05144,3.238538,3.508927,3.238538,0.311406,0.3305,-,2024-09-17T22:03:43.436186
4.803019,5.078474,5.563245,5.078474,0.310981,0.328816,-,2024-09-17T22:03:52.364390
7.417983,7.868458,8.58519,7.868458,0.310745,0.329615,-,2024-09-17T22:04:01.651483
10.935499,11.642597,12.681893,11.642597,0.310139,0.330193,-,2024-09-17T22:04:11.300403
15.893073,16.848563,18.366545,16.848563,0.310969,0.329665,-,2024-09-17T22:04:21.022867
22.936187,24.355085,26.608551,24.355085,0.310369,0.329569,-,2024-09-17T22:04:30.938227
32.262424,34.145588,37.34297,34.145588,0.31096,0.329111,-,2024-09-17T22:04:40.776502
45.369593,48.072888,52.260899,48.072888,0.311383,0.329937,-,2024-09-17T22:04:50.496090
61.894699,65.999437,71.472483,65.999437,0.310457,0.331046,-,2024-09-17T22:05:00.585949
85.312773,90.613287,99.014733,90.613287,0.310295,0.329574,-,2024-09-17T22:05:10.531064
117.694731,125.189484,136.089404,125.189484,0.310562,0.330338,-,2024-09-17T22:05:24.744002
158.036684,168.696898,182.692936,168.696898,0.310225,0.331151,-,2024-09-17T22:05:33.567563
213.704511,227.994939,247.31578,227.994939,0.310159,0.3309,-,2024-09-17T22:05:43.499856
283.747322,302.213513,328.127724,302.213513,0.310416,0.330617,-,2024-09-17T22:05:54.281382
379.736183,405.623975,439.703114,405.623975,0.309973,0.331105,-,2024-09-17T22:06:03.534525
510.620955,543.853069,593.789649,543.853069,0.309793,0.329955,-,2024-09-17T22:06:13.488536
677.361751,723.95604,782.565991,723.95604,0.310164,0.331499,-,2024-09-17T22:06:23.496101
905.033849,968.852247,1049.458945,968.852247,0.309588,0.331419,-,2024-09-17T22:06:33.445525
908.130757,969.795434,1057.062458,969.795434,0.309415,0.330426,-,2024-09-17T22:06:43.426429
909.5531,971.2202,1058.230865,971.2202,0.309477,0.330459,-,2024-09-17T22:06:53.536454
909.003896,970.551998,1057.893528,970.551998,0.309453,0.330406,-,2024-09-17T22:07:03.551193
908.567435,969.99825,1058.720869,969.99825,0.309322,0.330236,-,2024-09-17T22:07:13.503376
910.364018,972.086603,1059.398932,972.086603,0.309453,0.330434,-,2024-09-17T22:07:23.513191
909.770818,971.337421,1059.892153,971.337421,0.309341,0.330274,-,2024-09-17T22:07:35.618167
909.42235,970.945633,1059.058377,970.945633,0.309388,0.330318,-,2024-09-17T22:07:43.643105
908.888675,970.5008,1060.057178,970.5008,0.309204,0.330164,-,2024-09-17T22:07:53.684289
