X,Y,Z,Y,x,y,ccss_fname,Date
0.0,0.0,0.0,0.0,0.333333,0.333333,-,2024-09-17T22:09:18.173722
0.017713,0.01781,0.020717,0.01781,0.314949,0.316678,-,2024-09-17T22:09:30.265550
0.09149,0.096179,0.106312,0.096179,0.31121,0.327161,-,2024-09-17T22:09:39.154645
0.24627,0.25989,0.287617,0.25989,0.310251,0.32741,-,2024-09-17T22:09:49.129000
0.549569,0.581219,0.643936,0.581219,0.309664,0.327498,-,2024-09-17T22:09:58.997983
1.061189,1.123951,1.242266,1.123951,0.309619,0.32793,-,2024-09-17T22:10:09.004086
1.85732,1.967428,2.172874,1.967428,0.309676,0.328035,-,2024-09-17T22:10:17.809013
3.018507,3.19616,3.534084,3.19616,0.30963,0.327853,-,2024-09-17T22:10:25.934315
4.75779,5.039807,5.567055,5.039807,0.309658,0.328013,-,2024-09-17T22:10:34.676296
7.36122,7.798829,8.614442,7.798829,0.309627,0.328033,-,2024-09-17T22:10:44.114789
10.864929,11.517433,12.718777,11.517433,0.309532,0.328121,-,2024-09-17T22:10:53.721726
15.995933,16.955848,18.703957,16.955848,0.309664,0.328247,-,2024-09-17T22:11:03.417642
22.813401,24.194224,26.65312,24.194224,0.309709,0.328455,-,2024-09-17T22:11:13.371486
32.387506,34.350764,37.887488,34.350764,0.309556,0.32832,-,2024-09-17T22:11:23.210875
45.036653,47.904469,52.763261,47.904469,0.309096,0.328779,-,2024-09-17T22:11:32.897099
61.520458,65.335849,71.962828,65.335849,0.309429,0.32862,-,2024-09-17T22:11:42.951405
85.60948,90.812411,100.010999,90.812411,0.309694,0.328515,-,2024-09-17T22:11:52.862220
116.152098,123.187648,135.574001,123.187648,0.30981,0.328576,-,2024-09-17T22:12:02.876422
157.4554,167.262652,183.833239,167.262652,0.309616,0.3289,-,2024-09-17T22:12:12.857258
210.000058,223.321218,245.616565,223.321218,0.309307,0.328927,-,2024-09-17T22:12:22.845564
285.369375,303.595387,332.94961,303.595387,0.30954,0.32931,-,2024-09-17T22:12:32.890901
382.915694,407.557499,447.330661,407.557499,0.309351,0.329259,-,2024-09-17T22:12:43.001017
510.140496,543.218341,595.447549,543.218341,0.3094,0.329462,-,2024-09-17T22:12:52.820656
683.233252,728.75023,797.856796,728.75023,0.309178,0.329775,-,2024-09-17T22:13:02.846274
903.577698,964.668576,1054.872216,964.668576,0.309114,0.330014,-,2024-09-17T22:13:12.887449
903.22923,964.276787,1054.038439,964.276787,0.309162,0.330057,-,2024-09-17T22:13:22.965265
902.897745,963.725807,1055.36239,963.725807,0.309001,0.329819,-,2024-09-17T22:13:32.897605
904.834298,965.817852,1056.702598,965.817852,0.309096,0.329929,-,2024-09-17T22:13:42.922228
904.231878,965.339546,1055.706162,965.339546,0.30911,0.329999,-,2024-09-17T22:13:52.895082
903.620455,964.781184,1055.705821,964.781184,0.309024,0.32994,-,2024-09-17T22:14:02.865691
903.297974,964.310261,1056.033677,964.310261,0.308963,0.329832,-,2024-09-17T22:14:12.912386
905.348509,966.485131,1056.874399,966.485131,0.309129,0.330004,-,2024-09-17T22:14:22.864450
905.252751,966.211486,1057.867448,966.211486,0.30903,0.32984,-,2024-09-17T22:14:32.886083
