X,Y,Z,Y,x,y,ccss_fname,Date
0.0,0.0,0.0,0.0,0.333333,0.333333,-,2024-09-20T07:55:09.559466
0.069861,0.070558,0.073301,0.070558,0.326881,0.330142,-,2024-09-20T07:55:18.885059
0.170825,0.17323,0.18555,0.17323,0.322552,0.327092,-,2024-09-20T07:55:27.948744
0.415153,0.438726,0.462412,0.438726,0.315396,0.333305,-,2024-09-20T07:55:37.232013
0.842224,0.900394,0.937712,0.900394,0.314224,0.335927,-,2024-09-20T07:55:47.136713
1.461441,1.584929,1.641825,1.584929,0.311728,0.338068,-,2024-09-20T07:55:57.088129
2.516026,2.7101,2.797334,2.7101,0.313584,0.337772,-,2024-09-20T07:56:04.469497
4.100718,4.414365,4.547871,4.414365,0.31392,0.33793,-,2024-09-20T07:56:13.175951
6.224448,6.707531,6.930405,6.707531,0.313379,0.3377,-,2024-09-20T07:56:22.375866
9.41443,10.128629,10.472363,10.128629,0.313653,0.337448,-,2024-09-20T07:56:31.888503
13.689345,14.725807,15.23014,14.725807,0.31365,0.337397,-,2024-09-20T07:56:41.558646
19.674179,21.179519,21.923864,21.179519,0.313395,0.337374,-,2024-09-20T07:56:51.392524
27.850128,29.962911,30.909523,29.962911,0.313901,0.337715,-,2024-09-20T07:57:01.421754
38.575113,41.595878,43.092463,41.595878,0.312948,0.337455,-,2024-09-20T07:57:11.192381
53.607857,57.74498,59.806711,57.74498,0.313204,0.337375,-,2024-09-20T07:57:21.012277
73.388336,78.80301,81.85189,78.80301,0.313567,0.336703,-,2024-09-20T07:57:30.924591
98.146852,105.524845,109.584393,105.524845,0.313312,0.336864,-,2024-09-20T07:57:40.912418
132.308625,141.997653,147.665152,141.997653,0.313549,0.33651,-,2024-09-20T07:57:50.932071
177.212858,190.361049,197.948584,190.361049,0.313361,0.336611,-,2024-09-20T07:58:00.877540
236.469701,254.632545,263.948541,254.632545,0.313184,0.337239,-,2024-09-20T07:58:10.929481
310.492538,334.679905,345.319226,334.679905,0.313473,0.337893,-,2024-09-20T07:58:21.027391
407.775255,439.528243,453.076454,439.528243,0.313582,0.338,-,2024-09-20T07:58:30.941361
537.845014,580.414037,597.60453,580.414037,0.313454,0.338264,-,2024-09-20T07:58:40.966058
699.82091,756.46904,777.404317,756.46904,0.313302,0.338663,-,2024-09-20T07:58:50.975831
923.122407,998.779591,1024.538346,998.779591,0.313301,0.338978,-,2024-09-20T07:59:00.933938
935.043717,1011.705923,1037.57226,1011.705923,0.313319,0.339007,-,2024-09-20T07:59:11.051079
937.398724,1014.191601,1040.077317,1014.191601,0.313337,0.339005,-,2024-09-20T07:59:20.688129
937.05802,1013.911497,1039.91161,1013.911497,0.313305,0.339001,-,2024-09-20T07:59:30.985774
937.276978,1013.997091,1039.908734,1013.997091,0.313347,0.338995,-,2024-09-20T07:59:40.940807
936.911741,1013.413561,1039.402984,1013.413561,0.313377,0.338965,-,2024-09-20T07:59:50.955070
936.282093,1013.046017,1038.90908,1013.046017,0.313323,0.339011,-,2024-09-20T08:00:00.958314
937.398724,1014.191601,1040.077317,1014.191601,0.313337,0.339005,-,2024-09-20T08:00:14.076682
937.10978,1014.104162,1039.749121,1014.104162,0.313314,0.339056,-,2024-09-20T08:00:24.043861
