X,Y,Z,Y,x,y,ccss_fname,Date
0.007417,0.008509,0.010787,0.008509,0.277667,0.318527,-,2024-09-16T22:54:39.002880
0.007134,0.008267,0.010595,0.008267,0.274423,0.318023,-,2024-09-16T22:54:51.993710
0.009742,0.010441,0.012433,0.010441,0.298677,0.320129,-,2024-09-16T22:55:03.661825
0.017762,0.019941,0.022583,0.019941,0.294636,0.330774,-,2024-09-16T22:55:23.877830
0.075668,0.077371,0.082312,0.077371,0.32151,0.328747,-,2024-09-16T22:55:34.348210
0.268809,0.277085,0.302828,0.277085,0.316722,0.326473,-,2024-09-16T22:55:44.309952
0.662335,0.704284,0.745631,0.704284,0.313568,0.333428,-,2024-09-16T22:55:53.515150
1.336294,1.446184,1.500333,1.446184,0.312013,0.337672,-,2024-09-16T22:56:02.779967
2.399982,2.593232,2.682596,2.593232,0.312668,0.337845,-,2024-09-16T22:56:09.545647
3.964019,4.279828,4.411181,4.279828,0.313237,0.338192,-,2024-09-16T22:56:15.077929
6.208908,6.711584,6.919692,6.711584,0.312946,0.338282,-,2024-09-16T22:56:19.539122
9.393357,10.141051,10.474607,10.141051,0.313018,0.337933,-,2024-09-16T22:56:24.240032
13.81018,14.894608,15.41907,14.894608,0.312987,0.337564,-,2024-09-16T22:56:28.292386
19.889545,21.446482,22.208911,21.446482,0.313,0.337501,-,2024-09-16T22:56:32.672029
28.044864,30.253218,31.252756,30.253218,0.313173,0.337833,-,2024-09-16T22:56:36.215236
38.909419,41.942038,43.451327,41.942038,0.313021,0.337418,-,2024-09-16T22:56:40.247982
53.642849,57.745903,59.972248,57.745903,0.31304,0.336984,-,2024-09-16T22:56:44.828705
72.950419,78.631822,81.857643,78.631822,0.312502,0.33684,-,2024-09-16T22:56:48.258347
97.673943,105.352734,109.424609,105.352734,0.312605,0.337181,-,2024-09-16T22:56:51.711903
131.530004,141.546362,147.505198,141.546362,0.312734,0.336549,-,2024-09-16T22:56:54.984440
177.951096,191.639795,199.628153,191.639795,0.312623,0.336671,-,2024-09-16T22:56:59.440725
239.354446,258.008873,267.961537,258.008873,0.312749,0.337123,-,2024-09-16T22:57:02.542643
319.646913,344.870236,357.015467,344.870236,0.312909,0.337601,-,2024-09-16T22:57:05.580530
428.318506,462.168445,477.141245,462.168445,0.313183,0.337934,-,2024-09-16T22:57:08.440690
571.955944,618.016804,637.379412,618.016804,0.312997,0.338203,-,2024-09-16T22:57:11.449831
576.787703,623.182672,642.55811,623.182672,0.313041,0.338221,-,2024-09-16T22:57:14.252533
576.75271,623.181749,642.392573,623.181749,0.313057,0.338258,-,2024-09-16T22:57:17.309711
576.909448,623.377182,642.726693,623.377182,0.313025,0.338238,-,2024-09-16T22:57:20.384116
576.568744,623.097078,642.560986,623.097078,0.312974,0.33823,-,2024-09-16T22:57:23.414278
576.568744,623.097078,642.560986,623.097078,0.312974,0.33823,-,2024-09-16T22:57:26.371856
576.665957,622.988162,642.389527,622.988162,0.313058,0.338205,-,2024-09-16T22:57:30.303282
576.909448,623.377182,642.726693,623.377182,0.313025,0.338238,-,2024-09-16T22:57:33.289983
576.655497,623.290666,642.564033,623.290666,0.312973,0.338283,-,2024-09-16T22:57:36.052626
