X,Y,Z,Y,x,y,ccss_fname,Date
0.0,0.0,0.0,0.0,0.333333,0.333333,-,2024-09-20T08:02:01.161802
0.035894,0.037221,0.038819,0.037221,0.320669,0.33253,-,2024-09-20T08:02:12.077918
0.172476,0.175252,0.187952,0.175252,0.321975,0.327158,-,2024-09-20T08:02:21.624841
0.353743,0.371326,0.394164,0.371326,0.316058,0.331768,-,2024-09-20T08:02:31.255870
0.772607,0.82495,0.860721,0.82495,0.314288,0.33558,-,2024-09-20T08:02:41.249092
1.465702,1.590353,1.646654,1.590353,0.311672,0.338178,-,2024-09-20T08:02:51.133786
2.441404,2.631928,2.71435,2.631928,0.313496,0.33796,-,2024-09-20T08:02:58.730479
3.884753,4.179738,4.312101,4.179738,0.313879,0.337713,-,2024-09-20T08:03:07.417865
5.966618,6.437361,6.643825,6.437361,0.313244,0.337958,-,2024-09-20T08:03:16.551831
9.057439,9.748328,10.080112,9.748328,0.313559,0.337477,-,2024-09-20T08:03:26.238484
13.097426,14.080002,14.562979,14.080002,0.313783,0.337323,-,2024-09-20T08:03:35.771035
18.94175,20.396363,21.101895,20.396363,0.313398,0.337465,-,2024-09-20T08:03:45.584171
26.918931,28.971693,29.918611,28.971693,0.313707,0.337629,-,2024-09-20T08:03:55.489071
37.696419,40.503412,41.875944,40.503412,0.313939,0.337315,-,2024-09-20T08:04:05.351595
51.750293,55.734838,57.801481,55.734838,0.313094,0.337201,-,2024-09-20T08:04:15.151868
69.638216,74.781803,77.675892,74.781803,0.31355,0.33671,-,2024-09-20T08:04:25.164107
93.96151,100.918262,104.571572,100.918262,0.313779,0.337011,-,2024-09-20T08:04:35.140276
126.168506,135.489845,140.81856,135.489845,0.31348,0.33664,-,2024-09-20T08:04:45.095817
170.732034,183.573136,190.936285,183.573136,0.313131,0.336682,-,2024-09-20T08:04:55.148215
226.99015,244.38548,253.422731,244.38548,0.313177,0.337177,-,2024-09-20T08:05:05.170269
302.251363,325.772935,336.130237,325.772935,0.313489,0.337885,-,2024-09-20T08:05:15.176347
397.179075,428.135593,441.382407,428.135593,0.313555,0.337994,-,2024-09-20T08:05:25.147169
503.311695,542.863453,559.171541,542.863453,0.313522,0.33816,-,2024-09-20T08:05:35.184390
553.673183,597.557009,615.148562,597.557009,0.313451,0.338295,-,2024-09-20T08:05:45.132490
597.066864,644.684611,663.438951,644.684611,0.31339,0.338383,-,2024-09-20T08:05:55.146588
628.120782,678.492248,697.530577,678.492248,0.313411,0.338545,-,2024-09-20T08:06:05.154397
652.030692,704.760946,724.772053,704.760946,0.313241,0.338573,-,2024-09-20T08:06:15.157580
695.862291,752.059736,773.056689,752.059736,0.313313,0.338616,-,2024-09-20T08:06:25.197166
732.715624,792.095077,813.8292,792.095077,0.313308,0.338699,-,2024-09-20T08:06:35.170301
765.286401,827.632752,849.76035,827.632752,0.313298,0.338822,-,2024-09-20T08:06:45.181310
830.439872,898.023037,922.269732,898.023037,0.313287,0.338783,-,2024-09-20T08:06:55.152452
896.086634,969.685608,995.299927,969.685608,0.3132,0.338924,-,2024-09-20T08:07:05.148270
937.023027,1013.910575,1039.746074,1013.910575,0.313314,0.339023,-,2024-09-20T08:07:15.220675
