Date: 4/12/2004  Time: 19:04
LGOROWLENGTH 12
ORIGINATOR "ColorCheckerSG - Before November2014 edition"
MANUFACTURER "X-Rite - http://www.xrite.com"
NUMBER_OF_FIELDS 4
BEGIN_DATA_FORMAT
Sample_NAME   Lab_L   Lab_a   Lab_b
END_DATA_FORMAT
NUMBER_OF_SETS 140
BEGIN_DATA
A1	96.55	-0.91	0.57
A2	6.43	-0.06	-0.41
A3	49.7	-0.18	0.03
A4	96.5	-0.89	0.59
A5	6.5	-0.06	-0.44
A6	49.66	-0.2	0.01
A7	96.52	-0.91	0.58
A8	6.49	-0.02	-0.28
A9	49.72	-0.2	0.04
A10	96.43	-0.91	0.67
B1	49.72	-0.19	0.02
B2	32.6	51.58	-10.85
B3	60.75	26.22	-18.69
B4	28.69	48.28	-39
B5	49.38	-15.43	-48.48
B6	60.63	-30.77	-26.23
B7	19.29	-26.37	-6.15
B8	60.15	-41.77	-12.6
B9	21.42	1.67	8.79
B10	49.69	-0.2	0.01
C1	6.5	-0.03	-0.67
C2	21.82	17.33	-18.35
C3	41.53	18.48	-37.26
C4	19.99	-0.16	-36.29
C5	60.16	-18.45	-31.42
C6	19.94	-17.92	-20.96
C7	60.68	-6.05	-32.81
C8	50.81	-49.8	-9.63
C9	60.65	-39.77	20.76
C10	6.53	-0.03	-0.43
D1	96.56	-0.91	0.59
D2	84.19	-1.95	-8.23
D3	84.75	14.55	0.23
D4	84.87	-19.07	-0.82
D5	85.15	13.48	6.82
D6	84.17	-10.45	26.78
D7	61.74	31.06	36.42
D8	64.37	20.82	18.92
D9	50.4	-53.22	14.62
D10	96.51	-0.89	0.65
E1	49.74	-0.19	0.03
E2	31.91	18.62	21.99
E3	60.74	38.66	70.97
E4	19.35	22.23	-58.86
E5	96.52	-0.91	0.62
E6	6.66	0	-0.3
E7	76.51	20.81	22.72
E8	72.79	29.15	24.18
E9	22.33	-20.7	5.75
E10	49.7	-0.19	0.01
F1	6.53	-0.05	-0.61
F2	63.42	20.19	19.22
F3	34.94	11.64	-50.7
F4	52.03	-44.15	39.04
F5	79.43	0.29	-0.17
F6	30.67	-0.14	-0.53
F7	63.6	14.44	26.07
F8	64.37	14.5	17.05
F9	60.01	-44.33	8.49
F10	6.63	-0.01	-0.47
G1	96.56	-0.93	0.59
G2	46.37	-5.09	-24.46
G3	47.08	52.97	20.49
G4	36.04	64.92	38.51
G5	65.05	0	-0.32
G6	40.14	-0.19	-0.38
G7	43.77	16.46	27.12
G8	64.39	17	16.59
G9	60.79	-29.74	41.5
G10	96.48	-0.89	0.64
H1	49.75	-0.21	0.01
H2	38.18	-16.99	30.87
H3	21.31	29.14	-27.51
H4	80.57	3.85	89.61
H5	49.71	-0.2	0.03
H6	60.27	0.08	-0.41
H7	67.34	14.45	16.9
H8	64.69	16.95	18.57
H9	51.12	-49.31	44.41
H10	49.7	-0.2	0.02
I1	6.67	-0.05	-0.64
I2	51.56	9.16	-26.88
I3	70.83	-24.26	64.77
I4	48.06	55.33	-15.61
I5	35.26	-0.09	-0.24
I6	75.16	0.25	-0.2
I7	44.54	26.27	38.93
I8	35.91	16.59	26.46
I9	61.49	-52.73	47.3
I10	6.59	-0.05	-0.5
J1	96.58	-0.9	0.61
J2	68.93	-34.58	-0.34
J3	69.65	20.09	78.57
J4	47.79	-33.18	-30.21
J5	15.94	-0.42	-1.2
J6	89.02	-0.36	-0.48
J7	63.43	25.44	26.25
J8	65.75	22.06	27.82
J9	61.47	17.1	50.72
J10	96.53	-0.89	0.66
K1	49.79	-0.2	0.03
K2	85.17	10.89	17.26
K3	89.74	-16.52	6.19
K4	84.55	5.07	-6.12
K5	84.02	-13.87	-8.72
K6	70.76	0.07	-0.35
K7	45.59	-0.05	0.23
K8	20.3	0.07	-0.32
K9	61.79	-13.41	55.42
K10	49.72	-0.19	0.02
L1	6.77	-0.05	-0.44
L2	21.85	34.37	7.83
L3	42.66	67.43	48.42
L4	60.33	36.56	3.56
L5	61.22	36.61	17.32
L6	62.07	52.8	77.14
L7	72.42	-9.82	89.66
L8	62.03	3.53	57.01
L9	71.95	-27.34	73.69
L10	6.59	-0.04	-0.45
M1	49.77	-0.19	0.04
M2	41.84	62.05	10.01
M3	19.78	29.16	-7.85
M4	39.56	65.98	33.71
M5	52.39	68.33	47.84
M6	81.23	24.12	87.51
M7	81.8	6.78	95.75
M8	71.72	-16.23	76.28
M9	20.31	14.45	16.74
M10	49.68	-0.19	0.05
N1	96.48	-0.88	0.68
N2	49.69	-0.18	0.03
N3	6.39	-0.04	-0.33
N4	96.54	-0.9	0.67
N5	49.72	-0.18	0.05
N6	6.49	-0.03	-0.41
N7	96.51	-0.9	0.69
N8	49.7	-0.19	0.07
N9	6.47	0	-0.38
N10	96.46	-0.89	0.71
